topology_edges,rotError.numSamples.mean
36,8627.0
35,15695.5
19,6140.2
25,4242.0
35,6332.5
39,6329.0
57,5863.0
18,6086.75
23,357218.5
26,830942.333333
37,36389.0
37,15490.3333333
54,13796.0
20,12714.3333333
18,7331.0
21,7723.5
27,25949.5
26,22338.0
46,24431.0
39,59670.0
63,13573.5
30,22022.0
50,32607.8
2,437301.0
14,151082.0
19,114100.666667
32,35666.8
49,122499.666667
67,19129.5
23,110106.5
29,1804313.0
51,225133.0
57,531998.0
16,242087.0
48,311884.0
90,65744.0
24,57460.5

5-Fold RMSE:,256562.321547,610934.427549,149201.351493,152258.266101,152258.266101
Average 5-Fold RMSE:,280537.943536

5-Fold rsquared:,-1.28895298302,-0.610765724532,0.0201250018478,0.0801697468067,0.0801697468067
Average 5-Fold rsquared:,-0.382486601032
