voronoi_nodes,transError.mean.std
250,0.0268714999802
230,0.08188
229,0.0386996817124
170,0.195896
243,0.00292
229,0.0
301,0.1233725
140,0.0698618482453
129,4.9228345
250,9.61954530971
337,0.0
253,0.156519499397
640,0.0
159,0.277745542295
22,0.448678
156,0.347259
194,0.354833
291,0.0
281,0.0584935
283,0.0
223,0.321336
278,0.477166622112
301,0.255518043365
289,3.45614803464
113,0.0
154,3.87716082459
244,0.596664793933
431,2.23653723722
278,0.1633645
295,0.9678625
189,0.0
316,2.54792806727
427,6.6343885
105,0.0
256,5.7450325
530,0.0
190,0.15450226646

5-Fold RMSE:,4.23581802282,1.9128050873,1.33025702371,1.46071166252,1.46071166252
Average 5-Fold RMSE:,2.03430817922

5-Fold rsquared:,-44.433960616,-0.123376359512,-0.503252687867,-0.0138380508419,-0.0138380508419
Average 5-Fold rsquared:,-9.01626026585
