avgRoomArea,rotError.mean.mean
1770.82512649,0.033056
1693.17206751,0.022922
16879.3303371,0.0119034
2060.46065176,0.024416
654.353986368,0.022984
2100.80696472,0.026014
42.0407507992,0.0385815
159.178043584,0.01411725
2951.87623731,0.508538
6566.39327632,0.427206333333
117.729480802,0.027683
202.653527556,0.021869
37.5123784326,0.025594
7841.40851591,0.011314
17362.1361915,0.005875
151.362690548,0.008499
5620.85672307,0.0364685
1963.40434773,0.013377
114.824991211,0.025206
1997.3848037,0.098742
34.881097464,0.0188725
5426.47434551,0.0217106666667
2722.63884182,0.0356654
1733.7689016,0.710121333333
1048.19797,0.617859
159.188760688,0.347246
301.946595142,0.037768
99.3657311669,0.0542597777778
35.6467956188,0.2879235
1289.36416825,0.0488165
1209.03521613,0.811734
363.343164941,0.061975
943.370778453,0.422134
5552.49887159,0.415324
7977.65771283,0.1402775
469.164697244,0.058548
49524.5924242,0.02715275

5-Fold RMSE:,0.145682287351,0.218144831464,0.207135602643,0.273546716695,0.273546716695
Average 5-Fold RMSE:,0.220692472366

5-Fold rsquared:,-0.0591226840972,-0.163104697772,-0.598174694201,0.0109233708228,0.0109233708228
Average 5-Fold rsquared:,-1.76707379267
