voronoi_avg_shortest_path_length,transError.mean.std
17.1090763052,0.0268714999802
13.0972090374,0.08188
15.4703899487,0.0386996817124
11.9320570832,0.195896
13.5300479543,0.00292
13.346740213,0.0
16.2894352159,0.1233725
8.04121274409,0.0698618482453
12.4963662791,4.9228345
13.4870361446,9.61954530971
14.9227073619,0.0
15.7706882489,0.156519499397
21.4998288341,0.0
12.3135100709,0.277745542295
3.74025974026,0.448678
11.5084367246,0.347259
12.2111532504,0.354833
16.4234150966,0.0
12.3785714286,0.0584935
14.282835877,0.0
12.3206884014,0.321336
15.0959665481,0.477166622112
15.7765005537,0.255518043365
14.4232506728,3.45614803464
12.2139696587,0.0
12.0442237501,3.87716082459
14.0247250894,0.596664793933
24.0119570496,2.23653723722
16.4339661845,0.1633645
22.6007609824,0.9678625
12.0269053248,0.0
16.4454892506,2.54792806727
20.3348066541,6.6343885
9.9010989011,0.0
12.5083333333,5.7450325
17.5499233156,0.0
15.3235310498,0.15450226646

5-Fold RMSE:,1.35486594791,1.75060271012,1.34452956204,4.03213242241,4.03213242241
Average 5-Fold RMSE:,2.15992477012

5-Fold rsquared:,0.0194572079839,-0.0350712075991,-0.249680601316,-0.0619516745375,-0.0619516745375
Average 5-Fold rsquared:,-0.0712867205732
