totalLength,rotError.mean.mean
1329.72750899,0.033056
2108.7669849,0.022922
2256.12310928,0.0119034
824.368835301,0.024416
2126.22049647,0.022984
1790.18354594,0.026014
1441.58676375,0.0385815
2440.05942838,0.01411725
946.029134275,0.508538
863.896973708,0.427206333333
3457.98110153,0.027683
1867.26882519,0.021869
3890.3216491,0.025594
1367.16333489,0.011314
1063.51137603,0.005875
1525.83099978,0.008499
1159.62437526,0.0364685
1396.36771942,0.013377
874.593326059,0.025206
897.427820849,0.098742
1435.35472905,0.0188725
2824.82110656,0.0217106666667
1946.83451508,0.0356654
846.497995999,0.710121333333
384.084747385,0.617859
1326.42297693,0.347246
2372.92825138,0.037768
3101.91185446,0.0542597777778
1942.47141161,0.2879235
3185.90692283,0.0488165
848.674294841,0.811734
3035.9531446,0.061975
917.952284687,0.422134
537.458350768,0.415324
3987.59657007,0.1402775
1047.88838472,0.058548
2361.72989476,0.02715275

5-Fold RMSE:,0.173134905139,0.268349963141,0.261046736901,0.13415319709,0.13415319709
Average 5-Fold RMSE:,0.202769404035

5-Fold rsquared:,0.154979419283,0.183814338103,-0.0103349505368,0.0241968587154,0.0241968587154
Average 5-Fold rsquared:,0.100869849628
