wallRatio,rotError.std.std
195.799193881,0.00415768868333
64.2505870093,0.0035425
113.84243497,0.00655641073759
276.335142736,0.0051905
54.7144722115,0.006605
56.5108006335,0.0
64.1950153828,0.0056375
40.7940417972,0.00514110111625
116.659635642,0.4711185
125.858650875,0.520981324519
42.5,0.0
69.0004528971,0.00461329826576
82.25,0.0
136.792027631,0.00678663190888
121.115647214,0.000102
85.5,0.002803
88.2524787187,0.0297495
85.0,0.0
185.4,0.004725
137.333434466,0.0
254.000492126,0.003115
61.75,0.00955488046323
119.221642331,0.0452229868072
107.12901101,0.265200879727
116.372247551,0.0
116.833333333,0.370361932929
85.6692606611,0.0440903158374
82.2192191644,0.0449257746967
75.0,0.3296775
59.6003355695,0.015767
100.215345056,0.0
113.5,0.0520600178548
62.8,0.46847
64.8333333333,0.0
95.5085578123,0.126804
57.795023193,0.0
195.0,0.00888930742522

5-Fold RMSE:,0.193516569798,0.184481233957,0.0892771669263,0.176902494571,0.176902494571
Average 5-Fold RMSE:,0.145885477507

5-Fold rsquared:,-0.0957323572809,-19.4273997365,-0.18086595267,-0.0847356890349,-0.0847356890349
Average 5-Fold rsquared:,-10.761263039
