topology_std_betweenness_centrality,rotError.std.mean
0.157060934161,0.02798225
0.124401224416,0.0320445
0.219441665803,0.0178372
0.187756497808,0.0199945
0.154019596736,0.021598
0.15294041887,0.036893
0.141627662593,0.0359985
0.216662018134,0.01772125
0.212474501198,0.5246775
0.179116363595,0.385748
0.16600218961,0.088337
0.170907443183,0.0298306666667
0.132183205558,0.022416
0.206867780433,0.014809
0.224004288455,0.008167
0.196185373283,0.012435
0.158996914607,0.0413675
0.20325722398,0.02285
0.124375787197,0.028219
0.146143564105,0.122708
0.116264239203,0.020269
0.16435750178,0.023071
0.153122424652,0.0556182
0.471404520791,0.805028666667
0.242817084083,0.736744
0.216313212501,0.348673666667
0.183840968349,0.0636326
0.148639864971,0.0959848888889
0.119075163898,0.3574515
0.220853420272,0.047268
0.190652239415,0.997592
0.119381307136,0.0586724
0.147003696536,0.546293
0.234536156628,0.668596
0.131812264312,0.147273
0.0895510295476,0.059187
0.19657591917,0.033395

5-Fold RMSE:,0.182985561194,0.353937129907,0.175145572583,0.229050941555,0.229050941555
Average 5-Fold RMSE:,0.222224860422

5-Fold rsquared:,-0.0070784168979,-1.30816303987,0.52593030475,0.0172504258065,0.0172504258065
Average 5-Fold rsquared:,-0.117495494846
