topology_avg_closeness_centrality,rotError.mean.std
0.321027376431,0.0055707192085
0.307063318781,0.005774
0.3736125688,0.00612134232338
0.408935571873,0.005801
0.424645653444,0.010443
0.361359086553,0.0
0.275527456151,0.0071645
0.458570826992,0.004242387086
0.384808883271,0.454829
0.345619064651,0.585340681631
0.31302022507,0.0
0.297037369872,0.00592653260066
0.327739729602,0.0
0.320985703109,0.00493682941438
0.348572411089,0.000363
0.4281060583,1e-05
0.401704629629,0.0232285
0.312405095581,0.0
0.387862468291,0.012573
0.33979368597,0.0
0.350927942074,0.0029735
0.401346505261,0.00940442351001
0.278481518716,0.0173000462265
0.777777777778,0.389879276934
0.36624766393,0.0
0.41996024624,0.370803851292
0.488065475429,0.0154836093337
0.42200643551,0.0414718190067
0.341150943476,0.2579585
0.302416892695,0.0264565
0.315127997702,0.0
0.261732493222,0.0619982553142
0.320506146099,0.370025
0.415539839586,0.0
0.284488279077,0.1258145
0.259287867843,0.0
0.352171322103,0.00653480410475

5-Fold RMSE:,0.198112218314,0.0885011844885,0.126059155802,0.214852278523,0.214852278523
Average 5-Fold RMSE:,0.15700771539

5-Fold rsquared:,-0.0902724512922,0.00432971816269,-2.48220390631,-25.9115966895,-25.9115966895
Average 5-Fold rsquared:,-5.70510287837
