voronoi_nodes,rotError.mean.mean
250,0.033056
230,0.022922
229,0.0119034
170,0.024416
243,0.022984
229,0.026014
301,0.0385815
140,0.01411725
129,0.508538
250,0.427206333333
337,0.027683
253,0.021869
640,0.025594
159,0.011314
22,0.005875
156,0.008499
194,0.0364685
291,0.013377
281,0.025206
283,0.098742
223,0.0188725
278,0.0217106666667
301,0.0356654
289,0.710121333333
113,0.617859
154,0.347246
244,0.037768
431,0.0542597777778
278,0.2879235
295,0.0488165
189,0.811734
316,0.061975
427,0.422134
105,0.415324
256,0.1402775
530,0.058548
190,0.02715275

5-Fold RMSE:,0.198850108767,0.144811328988,0.21106356191,0.319433282731,0.319433282731
Average 5-Fold RMSE:,0.228775949899

5-Fold rsquared:,-1.99579831416,-0.113969185212,-0.239693308635,-0.215227339109,-0.215227339109
Average 5-Fold rsquared:,-21.6881375108
