voronoi_nodes,transError.std.mean
250,0.79363175
230,0.9712675
229,0.660006
170,0.553814
243,0.679647
229,0.695845
301,0.6465805
140,0.64506525
129,8.99611
250,11.1858156667
337,4.032134
253,0.868578333333
640,0.980527
159,0.931125666667
22,0.68123
156,0.7183785
194,1.188382
291,1.285796
281,1.247364
283,2.102963
223,1.003049
278,1.010814
301,1.3055026
289,13.7854806667
113,8.904198
154,5.65513066667
244,1.8947556
431,2.71848344444
278,1.921542
295,2.705434
189,28.104709
316,2.8970098
427,11.9478155
105,4.520748
256,9.020481
530,2.112467
190,1.77265025

5-Fold RMSE:,4.01948909658,3.57143778085,9.59697370212,3.57339158886,3.57339158886
Average 5-Fold RMSE:,5.07690805741

5-Fold rsquared:,-0.108069099324,-6.57799878159,-0.402857068649,-0.190937498475,-0.190937498475
Average 5-Fold rsquared:,-1.46237084304
