voronoi_diameter,rotError.std.std
45,0.00415768868333
31,0.0035425
40,0.00655641073759
26,0.0051905
31,0.006605
32,0.0
38,0.0056375
18,0.00514110111625
34,0.4711185
31,0.520981324519
31,0.0
38,0.00461329826576
52,0.0
27,0.00678663190888
8,0.000102
24,0.002803
30,0.0297495
38,0.0
27,0.004725
30,0.0
26,0.003115
34,0.00955488046323
40,0.0452229868072
38,0.265200879727
31,0.0
27,0.370361932929
44,0.0440903158374
51,0.0449257746967
41,0.3296775
51,0.015767
28,0.0
39,0.0520600178548
55,0.46847
24,0.0
28,0.126804
44,0.0
36,0.00888930742522

5-Fold RMSE:,0.15617604055,0.104064239565,0.184269471268,0.185639822406,0.185639822406
Average 5-Fold RMSE:,0.156332117761

5-Fold rsquared:,-0.273852771782,-0.577278859893,-1.19111447465,-0.0364696649558,-0.0364696649558
Average 5-Fold rsquared:,-7.05528487861
