traversalTime,rotError.std.mean
951.22385554,0.02798225
750.178214424,0.0320445
717.088483789,0.0178372
589.758911653,0.0199945
874.938568522,0.021598
870.904226907,0.036893
870.931728251,0.0359985
550.763056801,0.01772125
492.886623007,0.5246775
656.952316561,0.385748
1371.34741951,0.088337
1187.28583886,0.0298306666667
2035.82864252,0.022416
754.01694709,0.014809
205.223499199,0.008167
726.421235223,0.012435
786.534337607,0.0413675
841.175649661,0.02285
731.103227949,0.028219
897.190026783,0.122708
1173.06783952,0.020269
1069.35769226,0.023071
1006.22432177,0.0556182
823.369821087,0.805028666667
183.023661923,0.736744
1001.59400158,0.348673666667
1342.9430314,0.0636326
1455.54715772,0.0959848888889
1603.67256076,0.3574515
1367.57529848,0.047268
520.067365763,0.997592
1567.27616653,0.0586724
1008.03211816,0.546293
510.678711028,0.668596
1349.09985599,0.147273
918.534020399,0.059187
1578.35836762,0.033395

5-Fold RMSE:,0.371446815916,0.18261007767,0.228528867569,0.232357821321,0.232357821321
Average 5-Fold RMSE:,0.24460311861

5-Fold rsquared:,0.227037223358,-2.04545274794,-34.405786646,-0.3367157936,-0.3367157936
Average 5-Fold rsquared:,-7.3570689647
