topology_nodes,transError.std.std
30,0.0488762765684
32,0.1863275
19,0.101101237389
24,0.186017
30,0.009255
37,0.0
48,0.0591725
19,0.138424101571
21,7.65827
25,14.6652972746
34,0.0
35,0.163987254835
35,0.0
20,0.187602242848
19,0.322411
19,0.2730165
24,0.749069
24,0.0
35,0.066417
35,0.0
47,0.146625
30,0.721266797933
40,0.738109625713
3,3.0796217385
15,0.0
20,4.04790223421
26,0.36931376237
43,2.45785083592
47,0.413958
23,0.845742
27,0.0
42,2.57654755771
46,10.1506075
17,0.0
41,7.315611
63,0.0
25,0.795869226053

5-Fold RMSE:,3.48757163823,4.82272010201,1.67250699369,3.41773978179,3.41773978179
Average 5-Fold RMSE:,3.08471642838

5-Fold rsquared:,-0.821866854579,-0.0977339384041,-0.0593950988288,-0.149754604288,-0.149754604288
Average 5-Fold rsquared:,-0.265580505639
