topology_radius,transError.std.std
4,0.0488762765684
4,0.1863275
2,0.101101237389
3,0.186017
2,0.009255
3,0.0
4,0.0591725
2,0.138424101571
3,7.65827
4,14.6652972746
3,0.0
4,0.163987254835
4,0.0
3,0.187602242848
3,0.322411
2,0.2730165
3,0.749069
4,0.0
3,0.066417
3,0.0
3,0.146625
2,0.721266797933
4,0.738109625713
1,3.0796217385
3,0.0
2,4.04790223421
2,0.36931376237
3,2.45785083592
3,0.413958
3,0.845742
4,0.0
5,2.57654755771
4,10.1506075
2,0.0
4,7.315611
5,0.0
4,0.795869226053

5-Fold RMSE:,2.3753057055,3.21432196982,1.33779286007,1.82905217249,1.82905217249
Average 5-Fold RMSE:,2.90706909092

5-Fold rsquared:,0.0993884592576,-0.39392674703,0.0261154212815,-737.592005632,-737.592005632
Average 5-Fold rsquared:,-147.573000582
