wallRatio,rotError.mean.std
195.799193881,0.0055707192085
64.2505870093,0.005774
113.84243497,0.00612134232338
276.335142736,0.005801
54.7144722115,0.010443
56.5108006335,0.0
64.1950153828,0.0071645
40.7940417972,0.004242387086
116.659635642,0.454829
125.858650875,0.585340681631
42.5,0.0
69.0004528971,0.00592653260066
82.25,0.0
136.792027631,0.00493682941438
121.115647214,0.000363
85.5,1e-05
88.2524787187,0.0232285
85.0,0.0
185.4,0.012573
137.333434466,0.0
254.000492126,0.0029735
61.75,0.00940442351001
119.221642331,0.0173000462265
107.12901101,0.389879276934
116.372247551,0.0
116.833333333,0.370803851292
85.6692606611,0.0154836093337
82.2192191644,0.0414718190067
75.0,0.2579585
59.6003355695,0.0264565
100.215345056,0.0
113.5,0.0619982553142
62.8,0.370025
64.8333333333,0.0
95.5085578123,0.1258145
57.795023193,0.0
195.0,0.00653480410475

5-Fold RMSE:,0.082708599112,0.222049154528,0.253081759964,0.0819135628504,0.0819135628504
Average 5-Fold RMSE:,0.14557664947

5-Fold rsquared:,-0.000752639991929,-0.320903511789,-0.041113522914,-0.193997050447,-0.193997050447
Average 5-Fold rsquared:,-163.917771975
