topology_avg_betweenness_centrality,transError.numSamples.std
0.0803776683087,1692.08022859
0.0786962365591,3411.5
0.103887168903,2886.681652
0.0693346508564,2356.0
0.0506568144499,168.5
0.052380952381,0.0
0.0603415047795,1162.0
0.0746474028208,2768.629117
0.0884711779449,332796.5
0.0886956521739,1162326.40025
0.0721368092692,0.0
0.0755793226381,4484.43361963
0.0651387827858,0.0
0.125438596491,4596.02468323
0.115927072583,6269.0
0.0835913312693,4659.5
0.0716403162055,23467.5
0.106554677207,0.0
0.0501145912911,2134.0
0.0622358034123,0.0
0.0430054476308,3793.5
0.0555829228243,25849.7467299
0.071322537112,27505.3824798
0.333333333333,164604.661684
0.141391941392,0.0
0.0809941520468,116037.005748
0.0462820512821,15605.2559274
0.0346271236799,231363.029035
0.0447939150992,8298.5
0.11405985319,59179.5
0.0939031339031,0.0
0.0726480836237,358042.389847
0.0512077294686,489724.0
0.0990196078431,0.0
0.0677298311445,274071.0
0.0483073539657,0.0
0.0855072463768,56789.5485037

5-Fold RMSE:,123735.504965,110991.31676,462284.7147,139692.55709,139692.55709
Average 5-Fold RMSE:,188576.249113

5-Fold rsquared:,-0.167346811881,-0.0803476135518,-0.135743059257,-24.5841375515,-24.5841375515
Average 5-Fold rsquared:,-5.04093408848
