voronoi_nodes,rotError.std.mean
250,0.02798225
230,0.0320445
229,0.0178372
170,0.0199945
243,0.021598
229,0.036893
301,0.0359985
140,0.01772125
129,0.5246775
250,0.385748
337,0.088337
253,0.0298306666667
640,0.022416
159,0.014809
22,0.008167
156,0.012435
194,0.0413675
291,0.02285
281,0.028219
283,0.122708
223,0.020269
278,0.023071
301,0.0556182
289,0.805028666667
113,0.736744
154,0.348673666667
244,0.0636326
431,0.0959848888889
278,0.3574515
295,0.047268
189,0.997592
316,0.0586724
427,0.546293
105,0.668596
256,0.147273
530,0.059187
190,0.033395

5-Fold RMSE:,0.192508609241,0.256854865974,0.168322875601,0.442498913999,0.442498913999
Average 5-Fold RMSE:,0.259026607302

5-Fold rsquared:,-0.344266028531,-0.185942882852,-0.00833705587366,-0.460315738843,-0.460315738843
Average 5-Fold rsquared:,-0.186023196119
