voronoi_avg_closeness_centrality,transError.mean.std
0.0607268432365,0.0268714999802
0.0784116989904,0.08188
0.0670963269855,0.0386996817124
0.0849009471958,0.195896
0.0752682157962,0.00292
0.0763646154256,0.0
0.0630304264848,0.1233725
0.12870857214,0.0698618482453
0.0833470642953,4.9228345
0.0764866089586,9.61954530971
0.0689598898793,0.0
0.0653665559372,0.156519499397
0.047644843881,0.0
0.0838354988579,0.277745542295
0.276990231888,0.448678
0.0884732603304,0.347259
0.0840568168315,0.354833
0.0627819242078,0.0
0.0824425675438,0.0584935
0.0716179077184,0.0
0.0829357773374,0.321336
0.0674685943723,0.477166622112
0.066160655136,0.255518043365
0.0716879263894,3.45614803464
0.0847485271117,0.0
0.0852834013798,3.87716082459
0.0745168063384,0.596664793933
0.0418780662733,2.23653723722
0.0626132509807,0.1633645
0.0459685102702,0.9678625
0.086124372711,0.0
0.0621938106869,2.54792806727
0.0511601522691,6.6343885
0.10438803755,0.0
0.0829681026723,5.7450325
0.0583282349173,0.0
0.0677186188063,0.15450226646

5-Fold RMSE:,1.13753924069,3.18777567327,2.2344525692,2.5794274324,2.5794274324
Average 5-Fold RMSE:,2.21167785186

5-Fold rsquared:,-0.026709796889,0.00848053450033,-0.0108523815234,-2.09074447325,-2.09074447325
Average 5-Fold rsquared:,-0.434957570377
