voronoi_avg_shortest_path_length,transError.mean.mean
17.1090763052,0.77999825
13.0972090374,0.737788
15.4703899487,0.6111264
11.9320570832,0.627088
13.5300479543,0.895302
13.346740213,0.690067
16.2894352159,0.6868825
8.04121274409,0.7195855
12.4963662791,6.0711005
13.4870361446,7.747828
14.9227073619,1.066061
15.7706882489,0.880959666667
21.4998288341,1.110731
12.3135100709,0.992162
3.74025974026,0.806277
11.5084367246,0.960523
12.2111532504,0.95364
16.4234150966,1.467048
12.3785714286,1.3147815
14.282835877,1.60563
12.3206884014,1.28873
15.0959665481,1.08620766667
15.7765005537,0.873942
14.4232506728,9.46907833333
12.2139696587,5.437125
12.0442237501,5.458101
14.0247250894,1.9444218
24.0119570496,2.43944244444
16.4339661845,2.0359135
22.6007609824,2.2091805
12.0269053248,16.189822
16.4454892506,2.9383338
20.3348066541,7.8686635
9.9010989011,3.155217
12.5083333333,7.5462215
17.5499233156,1.874993
15.3235310498,1.3166405

5-Fold RMSE:,2.29227359443,5.49240993333,2.35994950874,2.63103390946,2.63103390946
Average 5-Fold RMSE:,3.24737464442

5-Fold rsquared:,-0.704713275885,-0.0115515384605,-0.716706153054,0.00313474714656,0.00313474714656
Average 5-Fold rsquared:,-0.305317971209
