topology_std_katz_centrality,transError.mean.mean
0.0415496602463,0.77999825
0.0327402912611,0.737788
0.040361653923,0.6111264
0.052747219677,0.627088
0.0596202838132,0.895302
0.0517742245605,0.690067
0.0440867661807,0.6868825
0.0586605327873,0.7195855
0.0447871510946,6.0711005
0.0455697766838,7.747828
0.0343501102959,1.066061
0.0348802179017,0.880959666667
0.0387865986683,1.110731
0.0313893001367,0.992162
0.0375295099882,0.806277
0.0560533106338,0.960523
0.0528453814189,0.95364
0.0388418335422,1.467048
0.0545557900803,1.3147815
0.0447742735529,1.60563
0.0504062668326,1.28873
0.0522435943348,1.08620766667
0.0365337137694,0.873942
0.0239938583583,9.46907833333
0.0371844136274,5.437125
0.0509329526464,5.458101
0.0665161870029,1.9444218
0.0595870605781,2.43944244444
0.047552149884,2.0359135
0.0343000566012,2.2091805
0.0454501425725,16.189822
0.0281128168704,2.9383338
0.049173358584,7.8686635
0.0482392301694,3.155217
0.0358111856313,7.5462215
0.0303695030845,1.874993
0.0458339228496,1.3166405

5-Fold RMSE:,5.51007237897,3.29084758424,2.49759516773,1.65936898495,1.65936898495
Average 5-Fold RMSE:,2.9997648036

5-Fold rsquared:,0.00112102907941,-0.13872489978,-0.312605463024,-0.0277319028782,-0.0277319028782
Average 5-Fold rsquared:,-0.19437955535
