totalTime,transError.mean.mean
4665.975,0.77999825
5137.1,0.737788
5690.54,0.6111264
2714.45,0.627088
4835.1,0.895302
4832.8,0.690067
4219.35,0.6868825
5898.65,0.7195855
3627.9,6.0711005
3827.43333333,7.747828
11510.1,1.066061
5241.43333333,0.880959666667
10257.5,1.110731
3827.56666667,0.992162
3620.7,0.806277
4229.35,0.960523
3313.3,0.95364
4822.6,1.467048
3930.0,1.3147815
3614.3,1.60563
4227.2,1.28873
7469.7,1.08620766667
5687.44,0.873942
3623.2,9.46907833333
2421.2,5.437125
4828.66666667,5.458101
7982.52,1.9444218
8717.62222222,2.43944244444
6334.0,2.0359135
7562.0,2.2091805
4829.8,16.189822
7868.38,2.9383338
3315.1,7.8686635
2415.4,3.155217
9369.6,7.5462215
4827.5,1.874993
6338.1,1.3166405

5-Fold RMSE:,3.34507501329,5.03281660726,1.78457127852,2.60073995158,2.60073995158
Average 5-Fold RMSE:,3.23353269808

5-Fold rsquared:,0.0426365160488,0.016227698054,0.0598351278929,-0.0541507682949,-0.0541507682949
Average 5-Fold rsquared:,-0.109936351356
