topology_density,transError.mean.mean
0.0827586206897,0.77999825
0.070564516129,0.737788
0.111111111111,0.6111264
0.0905797101449,0.627088
0.0804597701149,0.895302
0.0585585585586,0.690067
0.0505319148936,0.6868825
0.105263157895,0.7195855
0.109523809524,6.0711005
0.0866666666667,7.747828
0.0659536541889,1.066061
0.0621848739496,0.880959666667
0.090756302521,1.110731
0.105263157895,0.992162
0.105263157895,0.806277
0.122807017544,0.960523
0.0978260869565,0.95364
0.0942028985507,1.467048
0.0773109243697,1.3147815
0.0655462184874,1.60563
0.0582793709528,1.28873
0.0689655172414,1.08620766667
0.0641025641026,0.873942
0.666666666667,9.46907833333
0.133333333333,5.437125
0.1,5.458101
0.0984615384615,1.9444218
0.0542635658915,2.43944244444
0.0619796484736,2.0359135
0.0909090909091,2.2091805
0.0826210826211,16.189822
0.0592334494774,2.9383338
0.0550724637681,7.8686635
0.117647058824,3.155217
0.0585365853659,7.5462215
0.0460829493088,1.874993
0.08,1.3166405

5-Fold RMSE:,3.00472256093,5.11164652248,2.35716649669,2.82944862157,2.82944862157
Average 5-Fold RMSE:,2.98304226778

5-Fold rsquared:,0.0601222907334,-0.0217283594381,-5.88901116738,0.0699137983924,0.0699137983924
Average 5-Fold rsquared:,-1.19287324593
