voronoi_diameter,rotError.mean.std
45,0.0055707192085
31,0.005774
40,0.00612134232338
26,0.005801
31,0.010443
32,0.0
38,0.0071645
18,0.004242387086
34,0.454829
31,0.585340681631
31,0.0
38,0.00592653260066
52,0.0
27,0.00493682941438
8,0.000363
24,1e-05
30,0.0232285
38,0.0
27,0.012573
30,0.0
26,0.0029735
34,0.00940442351001
40,0.0173000462265
38,0.389879276934
31,0.0
27,0.370803851292
44,0.0154836093337
51,0.0414718190067
41,0.2579585
51,0.0264565
28,0.0
39,0.0619982553142
55,0.370025
24,0.0
28,0.1258145
44,0.0
36,0.00653480410475

5-Fold RMSE:,0.124302115879,0.190818029095,0.14832661976,0.158776981825,0.158776981825
Average 5-Fold RMSE:,0.15118850158

5-Fold rsquared:,-0.00246169021282,0.0387935488933,-0.0778608042326,-0.0862900705023,-0.0862900705023
Average 5-Fold rsquared:,-18.3673177869
