voronoi_std_eigenvector_centrality,transError.std.std
0.0621418524861,0.0488762765684
0.064562611159,0.1863275
0.0655147896749,0.101101237389
0.0756944120562,0.186017
0.063736397957,0.009255
0.0655788298353,0.0
0.0571208297746,0.0591725
0.0795172592942,0.138424101571
0.0863325328339,7.65827
0.0625710750276,14.6652972746
0.0539293297254,0.0
0.0623255741929,0.163987254835
0.0393741635952,0.0
0.0778171239841,0.187602242848
0.183177866246,0.322411
0.0788215763143,0.2730165
0.0702204048489,0.749069
0.0583048887054,0.0
0.0585601819606,0.066417
0.0588844988291,0.0
0.0665140899304,0.146625
0.0595416486538,0.721266797933
0.0570370754118,0.738109625713
0.0583229555488,3.0796217385
0.092355006202,0.0
0.0794001997108,4.04790223421
0.0633224148962,0.36931376237
0.0480134270942,2.45785083592
0.0594842394656,0.413958
0.057696329759,0.845742
0.0701124270704,0.0
0.0559140808964,2.57654755771
0.0480981747221,10.1506075
0.095602752891,0.0
0.061688422116,7.315611
0.0433166383751,0.0
0.0718074587629,0.795869226053

5-Fold RMSE:,1.92754917786,1.85638028895,5.64449426641,3.03544600385,3.03544600385
Average 5-Fold RMSE:,3.19100078794

5-Fold rsquared:,-28.9430863919,-74.1009103216,-0.125558179161,-0.246805607853,-0.246805607853
Average 5-Fold rsquared:,-20.6941465035
