voronoi_density,rotError.mean.mean
0.00812851405622,0.033056
0.00892348585533,0.022922
0.0097678694553,0.0119034
0.0118343195266,0.024416
0.00836649321498,0.022984
0.0088868459358,0.026014
0.00671096345515,0.0385815
0.0151079136691,0.01411725
0.015503875969,0.508538
0.00844979919679,0.427206333333
0.00595238095238,0.027683
0.00793650793651,0.021869
0.00318368544601,0.025594
0.0132155083194,0.011314
0.103896103896,0.005875
0.0131513647643,0.008499
0.0104161102505,0.0364685
0.00722834459059,0.013377
0.00749872902898,0.025206
0.00719244167105,0.098742
0.00925140387024,0.0188725
0.00724618860868,0.0217106666667
0.00697674418605,0.0356654
0.00713667820069,0.710121333333
0.0176991150442,0.617859
0.0131567778627,0.347246
0.00866896039938,0.037768
0.00484541088869,0.0542597777778
0.00740202062177,0.2879235
0.00740228294708,0.0488165
0.0108634470337,0.811734
0.00642957604983,0.061975
0.00480478499412,0.422134
0.0190476190476,0.415324
0.00808823529412,0.1402775
0.00400898812284,0.058548
0.0105263157895,0.02715275

5-Fold RMSE:,0.136671727477,0.263312581055,0.259139614158,1.01698551764,1.01698551764
Average 5-Fold RMSE:,0.385234303246

5-Fold rsquared:,-814.057378219,-0.0288504638806,-1.22017301066,0.000288260756414,0.000288260756414
Average 5-Fold rsquared:,-163.198408828
