voronoi_std_closeness_centrality,rotError.mean.std
0.0115281691071,0.0055707192085
0.0127664010297,0.005774
0.012871900677,0.00612134232338
0.00955666431135,0.005801
0.0101031055214,0.010443
0.0104434238961,0.0
0.010504734642,0.0071645
0.0237913288013,0.004242387086
0.0161798718058,0.454829
0.0136819240382,0.585340681631
0.0122438733975,0.0
0.0116531019994,0.00592653260066
0.00741871144613,0.0
0.0155996031848,0.00493682941438
0.0519139466047,0.000363
0.0121048389773,1e-05
0.0133203744133,0.0232285
0.0111789888503,0.0
0.012002439584,0.012573
0.0110110099535,0.0
0.0121833939039,0.0029735
0.0092818621892,0.00940442351001
0.0136604729771,0.0173000462265
0.0129204340926,0.389879276934
0.0155910611826,0.0
0.0143990925972,0.370803851292
0.0141771999006,0.0154836093337
0.00310742205166,0.0414718190067
0.0105738429496,0.2579585
0.00914047087579,0.0264565
0.0164595556523,0.0
0.00952672556587,0.0619982553142
0.00976784712079,0.370025
0.0192787369224,0.0
0.0162028340043,0.1258145
0.00875221342896,0.0
0.0130270578487,0.00653480410475

5-Fold RMSE:,0.0706161307982,0.125212481719,0.238631927127,0.140270388241,0.140270388241
Average 5-Fold RMSE:,0.149325409142

5-Fold rsquared:,-0.0560356846055,-0.0128923508084,-0.0452893299003,-0.156282777659,-0.156282777659
Average 5-Fold rsquared:,-1485.76399511
