topology_edges,transError.std.std
36,0.0488762765684
35,0.1863275
19,0.101101237389
25,0.186017
35,0.009255
39,0.0
57,0.0591725
18,0.138424101571
23,7.65827
26,14.6652972746
37,0.0
37,0.163987254835
54,0.0
20,0.187602242848
18,0.322411
21,0.2730165
27,0.749069
26,0.0
46,0.066417
39,0.0
63,0.146625
30,0.721266797933
50,0.738109625713
2,3.0796217385
14,0.0
19,4.04790223421
32,0.36931376237
49,2.45785083592
67,0.413958
23,0.845742
29,0.0
51,2.57654755771
57,10.1506075
16,0.0
48,7.315611
90,0.0
24,0.795869226053

5-Fold RMSE:,6.49588750359,2.65676915997,1.5388679392,1.79081431716,1.79081431716
Average 5-Fold RMSE:,2.87142477718

5-Fold rsquared:,-65.3857789345,-0.236222614055,-0.0436747501106,-0.120829370217,-0.120829370217
Average 5-Fold rsquared:,-13.2195470819
