topology_std_closeness_centrality,rotError.std.mean
0.0665544387217,0.02798225
0.0555799197274,0.0320445
0.0757339072829,0.0178372
0.0790551718017,0.0199945
0.0775007939585,0.021598
0.0606107891583,0.036893
0.0526834428243,0.0359985
0.101375536596,0.01772125
0.0747329471831,0.5246775
0.0751243143765,0.385748
0.0639585892462,0.088337
0.0600455297118,0.0298306666667
0.0598415157943,0.022416
0.0714943970357,0.014809
0.0699051405756,0.008167
0.0853782568654,0.012435
0.0806190931631,0.0413675
0.0670242256695,0.02285
0.0707140975918,0.028219
0.068198206604,0.122708
0.0624073878507,0.020269
0.072643836412,0.023071
0.0530174475837,0.0556182
0.157134840264,0.805028666667
0.0765484380217,0.736744
0.0845009452369,0.348673666667
0.0945135561085,0.0636326
0.0673104249139,0.0959848888889
0.0588838687402,0.3574515
0.0537675872802,0.047268
0.0701235418297,0.997592
0.0403607033676,0.0586724
0.0633289348438,0.546293
0.0834404573371,0.668596
0.0565394436277,0.147273
0.0408820498034,0.059187
0.0745594040261,0.033395

5-Fold RMSE:,0.140751112307,0.180843660791,0.231559826739,0.238848422947,0.238848422947
Average 5-Fold RMSE:,0.239726684751

5-Fold rsquared:,-0.57361089709,0.472146134898,0.0592845845107,-1.65837266522,-1.65837266522
Average 5-Fold rsquared:,-0.470610157122
