topology_avg_eigenvector_centrality,rotError.mean.mean
0.13865641287,0.033056
0.141536517399,0.022922
0.19029821377,0.0119034
0.162656297032,0.024416
0.144827625308,0.022984
0.133171073548,0.026014
0.0917543071379,0.0385815
0.187043352329,0.01411725
0.177732551984,0.508538
0.152601241746,0.427206333333
0.125390723695,0.027683
0.124928999144,0.021869
0.137505066747,0.025594
0.176734832805,0.011314
0.194446635085,0.005875
0.189310947774,0.008499
0.162006200604,0.0364685
0.145353392472,0.013377
0.131709467573,0.025206
0.126010953526,0.098742
0.110396908215,0.0188725
0.145123925159,0.0217106666667
0.115000447066,0.0356654
0.569035593729,0.710121333333
0.219330026797,0.617859
0.184013731576,0.347246
0.160895527543,0.037768
0.117099210659,0.0542597777778
0.112421327167,0.2879235
0.177507132432,0.0488165
0.137963629888,0.811734
0.103876954315,0.061975
0.101913121764,0.422134
0.202768108095,0.415324
0.113226954911,0.1402775
0.0976862702812,0.058548
0.148732170502,0.02715275

5-Fold RMSE:,0.180345805476,0.1605543346,0.355948344128,0.144743278248,0.144743278248
Average 5-Fold RMSE:,0.197521070375

5-Fold rsquared:,-80.8916971451,0.447391671407,-0.0249185174372,-0.223012266347,-0.223012266347
Average 5-Fold rsquared:,-16.2348770467
