voronoi_edges,rotError.std.std
253,0.00415768868333
235,0.0035425
255,0.00655641073759
170,0.0051905
246,0.006605
232,0.0
303,0.0056375
147,0.00514110111625
128,0.4711185
263,0.520981324519
337,0.0
253,0.00461329826576
651,0.0
166,0.00678663190888
24,0.000102
159,0.002803
195,0.0297495
305,0.0
295,0.004725
287,0.0
229,0.003115
279,0.00955488046323
315,0.0452229868072
297,0.265200879727
112,0.0
155,0.370361932929
257,0.0440903158374
449,0.0449257746967
285,0.3296775
321,0.015767
193,0.0
320,0.0520600178548
437,0.46847
104,0.0
264,0.126804
562,0.0
189,0.00888930742522

5-Fold RMSE:,0.121824786986,0.117124655581,0.174670446147,0.178936040217,0.178936040217
Average 5-Fold RMSE:,0.154822806982

5-Fold rsquared:,-0.0819587685932,-0.298453053697,-0.115554373071,-0.198498097596,-0.198498097596
Average 5-Fold rsquared:,-7.93511742895
