topology_avg_shortest_path_length,transError.mean.mean
3.25057471264,0.77999825
3.36088709677,0.737788
2.76608187135,0.6111264
2.52536231884,0.627088
2.4183908046,0.895302
2.83333333333,0.690067
3.77570921986,0.6868825
2.26900584795,0.7195855
2.68095238095,6.0711005
3.04,7.747828
3.30837789661,1.066061
3.49411764706,0.880959666667
3.14957983193,1.110731
3.25789473684,0.992162
2.97076023392,0.806277
2.42105263158,0.960523
2.57608695652,0.95364
3.34420289855,1.467048
2.65378151261,1.3147815
3.05378151261,1.60563
2.93524514339,1.28873
2.55632183908,1.08620766667
3.71025641026,0.873942
1.33333333333,9.46907833333
2.8380952381,5.437125
2.45789473684,5.458101
2.11076923077,1.9444218
2.41971207087,2.43944244444
3.01572617946,2.0359135
3.395256917,2.2091805
3.34757834758,16.189822
3.90592334495,2.9383338
3.25314009662,7.8686635
2.48529411765,3.155217
3.64146341463,7.5462215
3.94674859191,1.874993
2.96666666667,1.3166405

5-Fold RMSE:,2.51086397777,3.75898101808,2.14192184825,2.12460129391,2.12460129391
Average 5-Fold RMSE:,3.20846390877

5-Fold rsquared:,-0.771834538203,-0.0344881444114,-0.136540276208,-0.114347104567,-0.114347104567
Average 5-Fold rsquared:,-0.326821885306
