avgRoomPerimeter,transError.mean.mean
707.007128463,0.77999825
758.966768091,0.737788
2161.19207626,0.6111264
630.451496107,0.627088
470.90808455,0.895302
844.944967104,0.690067
120.176589697,0.6868825
294.819744545,0.7195855
973.132170798,6.0711005
1194.83545134,7.747828
191.601876363,1.066061
248.223687618,0.880959666667
112.337263592,1.110731
1792.08753811,0.992162
2075.92330798,0.806277
252.355785617,0.960523
1406.85593365,0.95364
759.248936383,1.467048
219.335679185,1.3147815
855.595083334,1.60563
108.968542951,1.28873
1503.33670222,1.08620766667
774.553634232,0.873942
539.066583437,9.46907833333
529.397177254,5.437125
252.559291854,5.458101
379.091758694,1.9444218
191.722481992,2.43944244444
99.2869208384,2.0359135
575.918221531,2.2091805
555.98246505,16.189822
351.259423682,2.9383338
650.998139899,7.8686635
1344.71238759,3.155217
1364.92084998,7.5462215
345.9363477,1.874993
3522.51982697,1.3166405

5-Fold RMSE:,1.79995098429,2.86579301674,5.88977035985,3.02803578728,3.02803578728
Average 5-Fold RMSE:,3.09637850696

5-Fold rsquared:,-0.214801031369,-0.34390014571,-0.0940223710129,-4.73069485827,-4.73069485827
Average 5-Fold rsquared:,-2.00350344951
