topology_std_closeness_centrality,transError.mean.std
0.0665544387217,0.0268714999802
0.0555799197274,0.08188
0.0757339072829,0.0386996817124
0.0790551718017,0.195896
0.0775007939585,0.00292
0.0606107891583,0.0
0.0526834428243,0.1233725
0.101375536596,0.0698618482453
0.0747329471831,4.9228345
0.0751243143765,9.61954530971
0.0639585892462,0.0
0.0600455297118,0.156519499397
0.0598415157943,0.0
0.0714943970357,0.277745542295
0.0699051405756,0.448678
0.0853782568654,0.347259
0.0806190931631,0.354833
0.0670242256695,0.0
0.0707140975918,0.0584935
0.068198206604,0.0
0.0624073878507,0.321336
0.072643836412,0.477166622112
0.0530174475837,0.255518043365
0.157134840264,3.45614803464
0.0765484380217,0.0
0.0845009452369,3.87716082459
0.0945135561085,0.596664793933
0.0673104249139,2.23653723722
0.0588838687402,0.1633645
0.0537675872802,0.9678625
0.0701235418297,0.0
0.0403607033676,2.54792806727
0.0633289348438,6.6343885
0.0834404573371,0.0
0.0565394436277,5.7450325
0.0408820498034,0.0
0.0745594040261,0.15450226646

5-Fold RMSE:,1.3128882444,2.38221262676,1.18411325396,3.41256471071,3.41256471071
Average 5-Fold RMSE:,2.14613451517

5-Fold rsquared:,-0.0805083029171,-0.083922334543,-0.22019733966,-0.26380815588,-0.26380815588
Average 5-Fold rsquared:,-24.1677442036
