voronoi_std_katz_centrality,transError.mean.std
0.0631905584655,0.0268714999802
0.0658075265519,0.08188
0.0657233059386,0.0386996817124
0.0755455798348,0.195896
0.0641495247308,0.00292
0.066034753817,0.0
0.0575331907477,0.1233725
0.0841168072726,0.0698618482453
0.0879679595136,4.9228345
0.062966882775,9.61954530971
0.0544424123813,0.0
0.0628086114111,0.156519499397
0.0394800592855,0.0
0.0788806200449,0.277745542295
0.204263905889,0.448678
0.0772516261558,0.347259
0.0713808637398,0.354833
0.0586127538334,0.0
0.0594085046862,0.0584935
0.0592550204987,0.0
0.0661008951017,0.321336
0.0597913687418,0.477166622112
0.0575400519371,0.255518043365
0.0585913436971,3.45614803464
0.0939892490074,0.0
0.0797494568412,3.87716082459
0.0637167667236,0.596664793933
0.048109504833,2.23653723722
0.0598248730876,0.1633645
0.0581987476898,0.9678625
0.0725973866224,0.0
0.0561712509096,2.54792806727
0.0483911660079,6.6343885
0.0968684562829,0.0
0.0624731549568,5.7450325
0.0434370069683,0.0
0.0714572904211,0.15450226646

5-Fold RMSE:,1.33027283288,1.93362102312,1.91083822556,1.49396004207,1.49396004207
Average 5-Fold RMSE:,2.18840267633

5-Fold rsquared:,-0.075703323909,-0.237792568992,0.00778252475679,-0.0373515518986,-0.0373515518986
Average 5-Fold rsquared:,-0.0729031409843
