topology_avg_eigenvector_centrality,transError.std.mean
0.13865641287,0.79363175
0.141536517399,0.9712675
0.19029821377,0.660006
0.162656297032,0.553814
0.144827625308,0.679647
0.133171073548,0.695845
0.0917543071379,0.6465805
0.187043352329,0.64506525
0.177732551984,8.99611
0.152601241746,11.1858156667
0.125390723695,4.032134
0.124928999144,0.868578333333
0.137505066747,0.980527
0.176734832805,0.931125666667
0.194446635085,0.68123
0.189310947774,0.7183785
0.162006200604,1.188382
0.145353392472,1.285796
0.131709467573,1.247364
0.126010953526,2.102963
0.110396908215,1.003049
0.145123925159,1.010814
0.115000447066,1.3055026
0.569035593729,13.7854806667
0.219330026797,8.904198
0.184013731576,5.65513066667
0.160895527543,1.8947556
0.117099210659,2.71848344444
0.112421327167,1.921542
0.177507132432,2.705434
0.137963629888,28.104709
0.103876954315,2.8970098
0.101913121764,11.9478155
0.202768108095,4.520748
0.113226954911,9.020481
0.0976862702812,2.112467
0.148732170502,1.77265025

5-Fold RMSE:,4.85452235905,3.08785144698,9.9479870978,4.45584639553,4.45584639553
Average 5-Fold RMSE:,5.21696062711

5-Fold rsquared:,-0.317596557047,-7.46634043767,-0.172313186062,-0.398890627549,-0.398890627549
Average 5-Fold rsquared:,-1.70859013219
