topology_std_closeness_centrality,transError.mean.mean
0.0665544387217,0.77999825
0.0555799197274,0.737788
0.0757339072829,0.6111264
0.0790551718017,0.627088
0.0775007939585,0.895302
0.0606107891583,0.690067
0.0526834428243,0.6868825
0.101375536596,0.7195855
0.0747329471831,6.0711005
0.0751243143765,7.747828
0.0639585892462,1.066061
0.0600455297118,0.880959666667
0.0598415157943,1.110731
0.0714943970357,0.992162
0.0699051405756,0.806277
0.0853782568654,0.960523
0.0806190931631,0.95364
0.0670242256695,1.467048
0.0707140975918,1.3147815
0.068198206604,1.60563
0.0624073878507,1.28873
0.072643836412,1.08620766667
0.0530174475837,0.873942
0.157134840264,9.46907833333
0.0765484380217,5.437125
0.0845009452369,5.458101
0.0945135561085,1.9444218
0.0673104249139,2.43944244444
0.0588838687402,2.0359135
0.0537675872802,2.2091805
0.0701235418297,16.189822
0.0403607033676,2.9383338
0.0633289348438,7.8686635
0.0834404573371,3.155217
0.0565394436277,7.5462215
0.0408820498034,1.874993
0.0745594040261,1.3166405

5-Fold RMSE:,5.7856415535,1.84854497373,2.37448797821,2.82866938623,2.82866938623
Average 5-Fold RMSE:,3.01012433537

5-Fold rsquared:,-0.782172231861,0.178941230741,-0.480055037768,-30.5273044069,-30.5273044069
Average 5-Fold rsquared:,-6.30062006948
