topology_edges,transError.numSamples.std
36,1692.08022859
35,3411.5
19,2886.681652
25,2356.0
35,168.5
39,0.0
57,1162.0
18,2768.629117
23,332796.5
26,1162326.40025
37,0.0
37,4484.43361963
54,0.0
20,4596.02468323
18,6269.0
21,4659.5
27,23467.5
26,0.0
46,2134.0
39,0.0
63,3793.5
30,25849.7467299
50,27505.3824798
2,164604.661684
14,0.0
19,116037.005748
32,15605.2559274
49,231363.029035
67,8298.5
23,59179.5
29,0.0
51,358042.389847
57,489724.0
16,0.0
48,274071.0
90,0.0
24,56789.5485037

5-Fold RMSE:,410505.65324,194167.052072,109056.190716,101971.957894,101971.957894
Average 5-Fold RMSE:,184987.525017

5-Fold rsquared:,-0.160700198685,-0.00107503338483,-14.0984189439,-0.0959761951179,-0.0959761951179
Average 5-Fold rsquared:,-2.94555460615
