perimeter,transError.mean.std
582.414195881,0.0268714999802
574.390274931,0.08188
642.501394841,0.0386996817124
396.724658884,0.195896
398.050280897,0.00292
629.847164937,0.0
325.157616123,0.1233725
161.46910584,0.0698618482453
607.353417602,4.9228345
623.982104305,9.61954530971
413.568733758,0.0
479.641424654,0.156519499397
383.710764507,0.0
673.355919531,0.277745542295
798.372831181,0.448678
186.385475943,0.347259
609.954365264,0.354833
661.864870045,0.0
243.197749682,0.0584935
625.529006956,0.0
175.184877189,0.321336
810.652971073,0.477166622112
791.247099826,0.255518043365
569.465956684,3.45614803464
301.700928702,0.0
333.320883456,3.87716082459
251.520417083,0.596664793933
266.853191731,2.23653723722
277.253593842,0.1633645
542.151199633,0.9678625
523.504495381,0.0
462.202334131,2.54792806727
804.802666284,6.6343885
577.749460923,0.0
919.385854688,5.7450325
687.006424965,0.0
1411.67024864,0.15450226646

5-Fold RMSE:,2.3454042943,3.07347585128,2.25162212385,1.60012037023,1.60012037023
Average 5-Fold RMSE:,2.15810517651

5-Fold rsquared:,-0.281769775998,-98.6044688297,-0.104263460957,0.125346219426,0.125346219426
Average 5-Fold rsquared:,-19.7885832589
