voronoi_nodes,transError.mean.mean
250,0.77999825
230,0.737788
229,0.6111264
170,0.627088
243,0.895302
229,0.690067
301,0.6868825
140,0.7195855
129,6.0711005
250,7.747828
337,1.066061
253,0.880959666667
640,1.110731
159,0.992162
22,0.806277
156,0.960523
194,0.95364
291,1.467048
281,1.3147815
283,1.60563
223,1.28873
278,1.08620766667
301,0.873942
289,9.46907833333
113,5.437125
154,5.458101
244,1.9444218
431,2.43944244444
278,2.0359135
295,2.2091805
189,16.189822
316,2.9383338
427,7.8686635
105,3.155217
256,7.5462215
530,1.874993
190,1.3166405

5-Fold RMSE:,3.13213107998,3.39698877431,5.29060784194,2.16643374736,2.16643374736
Average 5-Fold RMSE:,3.16089907535

5-Fold rsquared:,-0.1235273516,-0.265196371707,-0.140959950731,-24.6318111882,-24.6318111882
Average 5-Fold rsquared:,-6.50806629469
