topology_avg_closeness_centrality,rotError.std.std
0.321027376431,0.00415768868333
0.307063318781,0.0035425
0.3736125688,0.00655641073759
0.408935571873,0.0051905
0.424645653444,0.006605
0.361359086553,0.0
0.275527456151,0.0056375
0.458570826992,0.00514110111625
0.384808883271,0.4711185
0.345619064651,0.520981324519
0.31302022507,0.0
0.297037369872,0.00461329826576
0.327739729602,0.0
0.320985703109,0.00678663190888
0.348572411089,0.000102
0.4281060583,0.002803
0.401704629629,0.0297495
0.312405095581,0.0
0.387862468291,0.004725
0.33979368597,0.0
0.350927942074,0.003115
0.401346505261,0.00955488046323
0.278481518716,0.0452229868072
0.777777777778,0.265200879727
0.36624766393,0.0
0.41996024624,0.370361932929
0.488065475429,0.0440903158374
0.42200643551,0.0449257746967
0.341150943476,0.3296775
0.302416892695,0.015767
0.315127997702,0.0
0.261732493222,0.0520600178548
0.320506146099,0.46847
0.415539839586,0.0
0.284488279077,0.126804
0.259287867843,0.0
0.352171322103,0.00888930742522

5-Fold RMSE:,0.0770639541409,0.153825821755,0.0837314901418,0.208126740205,0.208126740205
Average 5-Fold RMSE:,0.14334350905

5-Fold rsquared:,-0.106354720337,-0.156722580659,0.00372683669445,-1.92643039676,-1.92643039676
Average 5-Fold rsquared:,-0.41060361283
