voronoi_edges,rotError.std.mean
253,0.02798225
235,0.0320445
255,0.0178372
170,0.0199945
246,0.021598
232,0.036893
303,0.0359985
147,0.01772125
128,0.5246775
263,0.385748
337,0.088337
253,0.0298306666667
651,0.022416
166,0.014809
24,0.008167
159,0.012435
195,0.0413675
305,0.02285
295,0.028219
287,0.122708
229,0.020269
279,0.023071
315,0.0556182
297,0.805028666667
112,0.736744
155,0.348673666667
257,0.0636326
449,0.0959848888889
285,0.3574515
321,0.047268
193,0.997592
320,0.0586724
437,0.546293
104,0.668596
264,0.147273
562,0.059187
189,0.033395

5-Fold RMSE:,0.153231722839,0.317354460002,0.299509094503,0.296152209078,0.296152209078
Average 5-Fold RMSE:,0.262903168789

5-Fold rsquared:,0.0810211758949,-42.4188879468,-0.182113426756,-0.148717249352,-0.148717249352
Average 5-Fold rsquared:,-8.54172271092
