x, y, r^2, avg 5-fold RMSE, avg 5-fold r^2 
voronoi_avg_betweenness_centrality,rotError.numSamples.mean,0.253945158312,2249.29585472,0.239582058923
voronoi_avg_betweenness_centrality,transError.numSamples.mean,0.253945158312,2251.58821419,-0.171730660677
traversalTime,rotError.numSamples.std,0.252940705037,3759.21819037,0.0837360150133
traversalTime,transError.numSamples.std,0.252940705037,3892.678914,-0.110613327656
topology_std_betweenness_centrality,transError.mean.mean,0.250586048659,0.142118143624,0.0770190915609
voronoi_diameter,transError.mean.mean,0.250105358221,0.129367512321,0.162701833048
voronoi_std_eigenvector_centrality,transError.mean.std,0.249428643253,0.0702728853522,0.0802279762248
voronoi_radius,rotError.numSamples.mean,0.249084295588,2193.18236256,0.234125857266
voronoi_radius,transError.numSamples.mean,0.249084295588,2265.03215745,0.12073914442
topology_avg_katz_centrality,transError.mean.mean,0.248071314048,0.152531288081,-0.0173383552028
voronoi_numBifurcationPoints,rotError.std.mean,0.245190835004,0.00639687217958,0.00502425732647
traversalTime,transError.std.std,0.242660455595,0.123842894583,0.175392516563
topology_std_eigenvector_centrality,transError.std.mean,0.240725745671,0.151078562431,0.122176025198
topology_nodes,rotError.numSamples.std,0.24061536391,3843.99579736,0.220125680194
topology_nodes,transError.numSamples.std,0.24061536391,3964.83315649,-0.0700435756151
voronoi_std_katz_centrality,rotError.numSamples.mean,0.240101932319,2296.25687931,-0.0961880712023
voronoi_std_katz_centrality,transError.numSamples.mean,0.240101932319,2338.85924441,-0.247730228677
voronoi_diameter,transError.std.mean,0.239090752909,0.151690781433,0.00700525853104
voronoi_std_katz_centrality,transError.mean.std,0.236718894169,0.0704504315614,0.0380114766144
voronoi_std_closeness_centrality,transError.mean.mean,0.235155073903,0.13590260126,-0.214463191853
traversalTime,rotError.mean.mean,0.234518089735,0.00419557346007,-0.13986850164
topology_std_eigenvector_centrality,rotError.numSamples.mean,0.233550981555,2254.95993256,0.0774837165052
topology_std_eigenvector_centrality,transError.numSamples.mean,0.233550981555,2199.61289562,0.159987152249
voronoi_radius,transError.mean.std,0.232826911996,0.0692186905301,0.0953980942921
traversalTime,rotError.std.mean,0.22995115678,0.00641239644108,-0.00164445912515
numRooms,rotError.mean.mean,0.227192344677,0.00369821926377,0.199220925719
topology_edges,rotError.numSamples.std,0.226381040526,3902.94726495,0.0459004377263
topology_edges,transError.numSamples.std,0.226381040526,3847.32017973,-0.137507991049
topology_avg_katz_centrality,transError.mean.std,0.224604158459,0.075529615211,-0.125268399439
voronoi_nodes,transError.std.std,0.219013301066,0.115204441704,-0.188461586459
voronoi_avg_betweenness_centrality,rotError.mean.mean,0.218741916889,0.00391122147121,-0.0887797026761
voronoi_radius,rotError.mean.mean,0.218418940133,0.00372385507636,0.219859656708
voronoi_edges,transError.std.std,0.21509512477,0.119679365153,-0.0921337097289
topology_std_eigenvector_centrality,transError.mean.std,0.214698838353,0.0709173105654,0.176042053742
topology_nodes,rotError.mean.mean,0.212938716552,0.00384979016213,0.0696856205048
totalTime,transError.mean.std,0.21287960474,0.069270233551,0.0289364443192
topology_std_betweenness_centrality,transError.std.mean,0.209711839366,0.171871762791,0.0207679327108
voronoi_avg_betweenness_centrality,rotError.std.mean,0.208628265941,0.00611911752712,-0.0299032508554
topology_avg_betweenness_centrality,transError.mean.std,0.208506474475,0.0765195773034,-0.487622174861
voronoi_std_eigenvector_centrality,rotError.mean.mean,0.208452681933,0.0039855800929,-0.510813118687
voronoi_diameter,rotError.numSamples.mean,0.208214576916,2221.98306171,0.118846469454
voronoi_diameter,transError.numSamples.mean,0.208214576916,2235.14222038,0.166315401448
voronoi_std_betweenness_centrality,rotError.numSamples.mean,0.207691879094,2307.30492085,0.0903056338481
