voronoi_density,rotError.mean.std
0.00318368544601,0.0051668558009
0.00440412804838,0.127889138475
0.00808823529412,0.00340156190411
0.00955699352912,0.000529720236435
0.0116912972085,0.00274200687267
0.0344632768362,0.000868010041646
0.0215053763441,0.000988470995105
0.00925140387024,0.00429956664055
0.00519180106663,0.00305267434636
0.00722834459059,0.00325076749757
0.0129516019087,0.00162224709611
0.0176991150442,0.00122251686463
0.0190476190476,0.00481593435646
0.0253086419753,0.00139556645188
0.0246913580247,0.00295561424787
0.0173913043478,0.00086073843683
0.0238095238095,0.00087903722649
0.0285714285714,0.00234359606884
0.0090424298632,0.00196300121238
0.00713667820069,0.00475371639426
0.00740202062177,0.00397965134483
0.0131513647643,0.00194485015484
0.00484541088869,0.011229552043
0.00866896039938,0.00728678377751
0.010447761194,0.0240067761271
0.00595238095238,0.00587163384417
0.0151079136691,0.00364257671701
0.0131567778627,0.00193137045088
0.0238095238095,0.00350567334933
0.00812851405622,0.011540864302
0.00904977375566,0.00169851493892
0.00721522115147,0.00387832424544
0.00719244167105,0.018982936371
0.0105263157895,0.00268365863701
0.00400898812284,0.00951347370549
0.00480478499412,0.0113683540574
0.00671096345515,0.0102189055546
0.0058288988948,0.00279617073466
0.0263157894737,0.00119649202124
0.00938926320365,0.00373159733983
0.00892348585533,0.00435481252733
0.0190476190476,0.00284573492967
0.00642957604983,0.00405173873492
0.00740228294708,0.00258198449888
0.015503875969,0.00935193660277
0.00952380952381,0.00120964368307
0.00724618860868,0.00544625576124
0.00697674418605,0.0122018643728
0.0108634470337,0.00687929093309
0.0097678694553,0.00319700990545
0.0116271344097,0.00317220657184
0.00765140004341,0.00212895982035
0.013986013986,0.00283126115696
0.0114093556717,0.00479663990611
0.0137931034483,0.00169591170353
0.00769163788349,0.00167382816322
0.0118343195266,0.00464877681209
0.00844979919679,0.00631663664558
0.0132155083194,0.00267358431567
0.0105814273905,0.00290650421563
0.0116959064327,0.00604227499064
0.0121212121212,0.00633767378436
0.103896103896,0.000897543822652
0.0161290322581,0.00296056940863
0.00793650793651,0.00514108200771
0.013698630137,0.0018376947053
0.00836649321498,0.00559589829449
0.015873015873,0.0018378217927
0.0088868459358,0.00470429841354
0.00749872902898,0.00584007398849
0.0093023255814,0.00290145318257
0.0104161102505,0.0102512932546
0.00822963331674,0.00140772643706
0.00921283274224,0.00163527502515

5-Fold RMSE:,0.00456707005643,0.0318397873679,0.00347491486115,0.00576187557989,0.00576187557989
Average 5-Fold RMSE:,0.00995727669273

5-Fold rsquared:,-0.0501407961534,-0.213735932145,-0.78402667054,-0.958384195691,-0.958384195691
Average 5-Fold rsquared:,-0.384748126614
