entropy,transError.std.mean
0.3221447186,0.597974409091
0.470907976972,0.3833542
0.523778963834,0.198447578947
0.395497312924,0.12269
0.328353771228,0.153758035714
0.29333028783,0.443964518519
0.370370404356,0.531760416667
0.274988878465,0.402073772727
0.206876229631,0.30601326087
0.538030318706,0.133319189189
0.295756027505,0.194677542857
0.380368228615,0.11035772
0.382280806687,0.139761666667
0.479363399065,0.178360027027
0.348905806613,0.2198439
0.333070872241,0.243437428571
0.254912011889,0.256086724138
0.55908348168,0.338521882353
0.308572760262,0.583932391304
0.318539406313,0.325802619048
0.277888866018,0.59423269697
0.284676724208,0.577431384615
0.297507395277,0.38375874359
0.204850511929,0.698436384615
0.234452734746,0.3659623
0.306951959387,0.690604043478
0.335083355922,0.404276533333
0.446540182952,0.441453846154
0.505791691597,0.237735884615
0.510763420494,0.225124575758
0.329875981726,0.256219483871
0.39131588904,0.65674012
0.756474176243,0.358577384615
0.636473091808,0.362996384615
0.607846472941,0.287370933333
0.568528908897,0.50726
0.558090194533,0.0964399411765
0.398900389202,0.236416833333
0.51387932211,0.35981112
0.393196937981,0.273577115385
0.484828329434,0.702296269231
0.37395692585,0.558222807692
0.410231936509,0.282527217391
0.326105044278,0.292004974359
0.521749511142,0.441571769231
0.405325651205,0.501131740741
0.333393618806,0.346335935484
0.437642046974,0.466183297297
0.329219680936,0.309707785714
0.255193614573,0.503770083333
0.291600149817,0.218116833333
0.360445393349,0.1932868
0.50107086266,0.310407555556
0.527835552252,0.50208644
0.380530385989,0.29558275
0.529081411403,0.442420407407
0.450537965723,0.337067487179
0.442437535411,0.286365322581
0.423383015861,0.19540578125
0.454458774711,0.171382926829
0.433576786625,0.327402357143
0.488364877974,0.287927933333
0.554227610854,0.466749133333
0.438986776868,0.224714148148
0.472547868952,0.483949818182
0.464185790183,0.153626448276
0.557906180205,0.380862583333
0.63559816881,0.2900733125
0.482066878387,0.203370592593
0.568207500774,0.522405666667
0.452134192471,0.237020576923
0.553248122712,0.17280424
0.313819750698,0.366907921053
0.687950739326,0.789124346154

5-Fold RMSE:,0.173350277793,0.157183270479,0.173484960423,0.170116628705,0.170116628705
Average 5-Fold RMSE:,0.165284729822

5-Fold rsquared:,-0.0709952141776,-0.208322603903,-0.0811857708705,-0.943625998165,-0.943625998165
Average 5-Fold rsquared:,-0.258052483762
