voronoi_numBifurcationPoints,transError.mean.std
131,0.128810550931
162,0.0626106276575
88,0.0363222141704
28,0.0240230927776
44,0.0231752964896
93,0.12471567563
197,0.118403445404
146,0.105974371826
85,0.0468835943002
52,0.0525575836354
48,0.0652650350355
39,0.0380406378831
38,0.048698079138
52,0.0465531383268
41,0.015699391456
32,0.0795487657361
114,0.0609893108178
145,0.0634488000674
119,0.121656676099
68,0.108765944747
195,0.116482183881
107,0.123971354033
98,0.117014135854
126,0.093854286797
66,0.0949115380575
58,0.113382526137
41,0.0940625752148
125,0.143229486163
107,0.0476951664389
145,0.0815122877936
141,0.0482871281887
92,0.109859637786
268,0.0815752280843
214,0.0639775660122
145,0.0966037993107
178,0.130209711384
36,0.0344430098623
104,0.0825251437691
117,0.0787229033116
49,0.0703616797672
160,0.136893046155
159,0.131748844655
62,0.0638479804609
102,0.0832238780337
137,0.112655965246
155,0.0882750414235
94,0.0630703094014
135,0.0904968358626
84,0.0844506183324
144,0.0812632064472
67,0.0478290808047
90,0.0665534059179
71,0.063039235743
126,0.0862053699096
81,0.0951669768786
134,0.0936298052555
82,0.083845172989
94,0.067525357097
80,0.0711609699581
74,0.0754858045801
13,0.0666286445176
58,0.06593977187
123,0.119219125795
65,0.060063217006
121,0.0967598598958
60,0.0600886637503
111,0.103345628507
148,0.0960266591481
101,0.0554747715395
228,0.117509395197
93,0.0976733690521
119,0.0490437767207
112,0.0852449136299
324,0.18024925237

5-Fold RMSE:,0.0281398783642,0.0279731336615,0.0232738720267,0.0266032597827,0.0266032597827
Average 5-Fold RMSE:,0.0267397293836

5-Fold rsquared:,0.00153534187272,-0.217042541397,0.289043889053,0.543442813677,0.543442813677
Average 5-Fold rsquared:,0.138048999842
