avg_closeness_centrality,transError.numSamples.mean
0.0829681026723,5859.7826087
0.0792384190845,2208.2
0.0798824288546,533.736842105
0.178437489832,281.035714286
0.111079156429,375.75
0.0829357773374,3820.06451613
0.0635474330535,4729.04166667
0.0627819242078,3357.30434783
0.070759448798,1109.95652174
0.0847485271117,244.540540541
0.0911718928997,830.8
0.121065388922,180.0
0.120524288794,450.733333333
0.0966926435271,457.388888889
0.130293676296,628.1
0.119034100862,954.971428571
0.0633096270436,1007.54166667
0.0716879263894,2059.76470588
0.0626132509807,8900.875
0.0884732603304,2142.7826087
0.0418780662733,6283.62068966
0.0745168063384,5881.21428571
0.108537964332,3028.03571429
0.0689598898793,13942.1666667
0.12870857214,2496.67647059
0.0852834013798,8121.34782609
0.126092060057,2459.1
0.0607268432365,3998.88235294
0.0613436786713,716.857142857
0.0713487155756,843.47826087
0.0716179077184,3702.36363636
0.0677186188063,6648.12
0.0583282349173,4365.44444444
0.0511601522691,4280.06666667
0.0630304264848,1701.35294118
0.0576403296223,3879.09375
0.134849739205,189.695652174
0.0787934053944,508.4375
0.0784116989904,2765.85185185
0.10438803755,1206.76923077
0.0621938106869,6532.5
0.0459685102702,3173.27272727
0.0833470642953,2456.83333333
0.0668233399598,2281.8
0.0674685943723,6061.31034483
0.066160655136,8307.2
0.086124372711,2598.6
0.0670963269855,3927.24390244
0.0860557798913,1492.89285714
0.0743900151433,3814.28571429
0.0848779173114,655.766666667
0.0957811074698,612.888888889
0.0804055982337,1611.27777778
0.0602154793258,3842.36
0.0849009471958,1384.0
0.0764866089586,3280.36666667
0.0838354988579,2484.47619048
0.0620173042545,1119.77419355
0.0854679083625,591.466666667
0.089826724729,510.341463415
0.276990231888,1281.76923077
0.0799232574825,1420.46666667
0.0653665559372,4234.0625
0.0828839962515,754.666666667
0.0752682157962,3208.20833333
0.105127732991,407.793103448
0.0763646154256,2487.5
0.0824425675438,3492.45454545
0.0764803546915,609.074074074
0.0502815796087,4201.78571429
0.0840568168315,2976.25
0.0692964768629,461.08
0.0778106496485,1971.81578947
0.047644843881,8002.75
