topology_avg_closeness_centrality,transError.mean.mean
0.327739729602,0.616674277778
0.370196021598,0.513207166667
0.284488279077,0.511799
0.370535696424,0.347489733333
0.358863475026,0.178033842105
0.350465651995,0.111519571429
0.567857142857,0.135674892857
0.350927942074,0.567853258065
0.427792565408,0.483538
0.312405095581,0.364766782609
0.329418318811,0.266804521739
0.36624766393,0.136014027027
0.325865200622,0.1602634
0.394037999891,0.11330008
0.417940572526,0.120517266667
0.556821291735,0.168592444444
0.464896387222,0.1753349
0.547413793103,0.250973828571
0.273047839118,0.255138206897
0.777777777778,0.275744352941
0.341150943476,0.572332
0.4281060583,0.401876478261
0.42200643551,0.667381558824
0.488065475429,0.601016714286
0.461444444904,0.428635214286
0.31302022507,0.534300857143
0.458570826992,0.392818764706
0.41996024624,0.511895521739
0.53984962406,0.3828526
0.321027376431,0.480142294118
0.189915402114,0.200632047619
0.324047864311,0.214672086957
0.33979368597,0.310588818182
0.352171322103,0.63580396
0.259287867843,0.357241074074
0.320506146099,0.322165133333
0.275527456151,0.302912058824
0.277062827077,0.44758759375
0.4379649762,0.0879599565217
0.281287246979,0.224303125
0.307063318781,0.388622
0.415539839586,0.297397730769
0.261732493222,0.663971375
0.302416892695,0.551063954545
0.384808883271,0.31300125
0.219125448248,0.4318884
0.401346505261,0.465919793103
0.278481518716,0.471419
0.315127997702,0.317696542857
0.3736125688,0.366169390244
0.452601597772,0.301987178571
0.278791459505,0.381142583333
0.391192719863,0.2053401
0.439189149067,0.189486166667
0.297418731391,0.273704222222
0.261752702654,0.42013416
0.408935571873,0.323464547619
0.345619064651,0.429869033333
0.320985703109,0.367336428571
0.236469882369,0.283932129032
0.351668103559,0.19405875
0.40030941228,0.191225219512
0.348572411089,0.285231925926
0.338184595993,0.3031
0.297037369872,0.475740875
0.343097345261,0.236201074074
0.424645653444,0.54542925
0.552032019704,0.154262137931
0.361359086553,0.423788730769
0.387862468291,0.337108057143
0.406535603422,0.189719777778
0.401704629629,0.29107
0.440632856899,0.17891308
0.394681310097,0.367190842105

5-Fold RMSE:,0.155213494284,0.148187788651,0.128169652501,0.140560885092,0.140560885092
Average 5-Fold RMSE:,0.145753045443

5-Fold rsquared:,0.10690615268,0.0178535540174,0.0331028970747,-0.360851076638,-0.360851076638
Average 5-Fold rsquared:,-0.0513568854934
