avgRoomWallRatio,transError.mean.mean
94.0246719844,0.494097045455
23.0972333146,0.347489733333
17.2159380658,0.178033842105
34.9170323836,0.111519571429
40.1386183344,0.135674892857
4.15960998171,0.500454518519
98.27407095,0.483538
32.0558355679,0.314663090909
31.8854450811,0.266804521739
17.0310324486,0.136014027027
17.8785937327,0.1602634
5.31889858635,0.11330008
11.6322524159,0.120517266667
16.7112958669,0.168670918919
4.19025169616,0.1753349
4.5851672727,0.250973828571
28.2697955746,0.255138206897
78.8607355756,0.275744352941
5.76789137536,0.550894956522
9.94474092631,0.348672047619
9.40155834329,0.556707151515
15.5899748781,0.560622653846
13.2876366474,0.375646230769
5.36699093475,0.493396230769
16.4235744233,0.349249866667
5.20590608492,0.511895521739
3.89560341955,0.3828526
28.751717776,0.376691423077
17.0235577735,0.2061935
16.5688430617,0.234490727273
41.7117577663,0.250467741935
42.725871617,0.63580396
74.578108553,0.298866
31.9225066807,0.263492076923
5.20722404423,0.279235933333
7.42424488488,0.469986628571
7.63297537834,0.0827919117647
21.7010848341,0.224303125
137.556377369,0.36068872
20.6470540419,0.297397730769
12.5838625992,0.687380423077
32.8475094999,0.594765692308
23.8346876138,0.276685391304
21.4298943763,0.26799774359
257.915562133,0.394348115385
18.4384227154,0.407328592593
21.165267296,0.301939870968
52.1209436869,0.337777675676
21.1597420627,0.301987178571
372.057769319,0.381142583333
21.6349184755,0.2053401
17.1761447181,0.16422708
52.6797805223,0.273704222222
452.745366651,0.42013416
11.0567143812,0.315128875
20.8609685098,0.391206259259
29.1017856064,0.319272923077
33.8993698932,0.283932129032
17.0002297373,0.19405875
13.0307686716,0.191225219512
112.186234652,0.287816464286
34.5694850639,0.3031
6.82477892286,0.4451378
11.3478965674,0.236201074074
25.0965042526,0.513622636364
31.3640832419,0.154262137931
5.11370107056,0.395215916667
5.66003775883,0.2822633125
31.0817993552,0.189719777778
12.4734197923,0.513207166667
20.3487250038,0.240103076923
91.8956005443,0.17891308
91.5984252567,0.367190842105
8.06038669655,0.626637846154

5-Fold RMSE:,0.147326126117,0.130555648742,0.124859194733,0.177666348917,0.177666348917
Average 5-Fold RMSE:,0.143419237602

5-Fold rsquared:,0.012818194794,-0.0561662816253,-0.0379406038239,-0.0302969017237,-0.0302969017237
Average 5-Fold rsquared:,-0.0331135401008
