numBifurcationPoints,rotError.mean.mean
131,0.00804769565217
162,0.00518106666667
88,0.00745268421053
28,0.00380332142857
44,0.00530514285714
93,0.0113298387097
197,0.0100377916667
146,0.00991973913043
85,0.00654347826087
52,0.00574740540541
48,0.0063216
39,0.00609472
38,0.00695146666667
52,0.00522869444444
41,0.00419643333333
32,0.00586774285714
114,0.00836370833333
145,0.00957582352941
119,0.0118060833333
68,0.00680830434783
195,0.00944403448276
107,0.0102644642857
98,0.0246713571429
126,0.00765891666667
66,0.00877191176471
58,0.00719391304348
41,0.0116620333333
125,0.0221704705882
107,0.00773861904762
145,0.0076692173913
141,0.0124832272727
92,0.0090522
268,0.0147335925926
214,0.0128114
145,0.0131788235294
178,0.0105658125
36,0.00586613043478
104,0.01122375
117,0.010821
49,0.00736969230769
160,0.012007125
159,0.00962695454545
62,0.0105803333333
102,0.0089074
137,0.0112168965517
155,0.0137696
94,0.0132841714286
135,0.0079603902439
84,0.0102650357143
144,0.00904714285714
67,0.0111931666667
90,0.0101992222222
71,0.00787177777778
126,0.0083908
81,0.0134036428571
134,0.0111335666667
82,0.00665304761905
94,0.0100887741935
80,0.0131854666667
74,0.0108286829268
13,0.00526592307692
58,0.0074369
123,0.01176809375
65,0.00650085185185
121,0.0117556666667
60,0.00662575862069
111,0.0114198846154
148,0.00877604545455
101,0.00717885185185
228,0.00882771428571
93,0.00862746428571
119,0.00584372
112,0.0060295
324,0.0138904166667
