voronoi_diameter,transError.std.mean
28,0.597974409091
36,0.3833542
29,0.198447578947
11,0.12269
22,0.153758035714
26,0.443964518519
39,0.531760416667
38,0.402073772727
39,0.30601326087
31,0.133319189189
27,0.194677542857
19,0.11035772
19,0.139761666667
26,0.178360027027
16,0.2198439
20,0.243437428571
39,0.256086724138
38,0.338521882353
41,0.583932391304
24,0.325802619048
51,0.59423269697
44,0.577431384615
21,0.38375874359
31,0.698436384615
18,0.3659623
27,0.690604043478
16,0.404276533333
45,0.441453846154
43,0.237735884615
37,0.225124575758
30,0.256219483871
36,0.65674012
44,0.358577384615
55,0.362996384615
38,0.287370933333
41,0.50726
15,0.0964399411765
28,0.236416833333
31,0.35981112
24,0.273577115385
39,0.702296269231
51,0.558222807692
34,0.282527217391
43,0.292004974359
34,0.441571769231
40,0.501131740741
28,0.346335935484
40,0.466183297297
24,0.309707785714
31,0.503770083333
31,0.218116833333
23,0.1932868
33,0.310407555556
45,0.50208644
26,0.29558275
31,0.442420407407
27,0.337067487179
46,0.286365322581
30,0.19540578125
28,0.171382926829
8,0.327402357143
31,0.287927933333
38,0.466749133333
28,0.224714148148
31,0.483949818182
25,0.153626448276
32,0.380862583333
27,0.2900733125
35,0.203370592593
49,0.522405666667
30,0.237020576923
35,0.17280424
29,0.366907921053
52,0.789124346154

5-Fold RMSE:,0.134181704392,0.16297155953,0.137922032693,0.127077669663,0.127077669663
Average 5-Fold RMSE:,0.144457357033

5-Fold rsquared:,-0.353180054697,0.133086696094,0.200156827122,0.151574248408,0.151574248408
Average 5-Fold rsquared:,0.1282414538
