topology_std_katz_centrality,transError.std.std
0.0358111856313,0.226872799473
0.0506179618926,0.0888341978949
0.0370978935435,0.0536568207547
0.0184651276566,0.0531756045959
0.0653190067095,0.0388866547706
0.0504062668326,0.156091446153
0.0625156345542,0.204774691356
0.0388418335422,0.189473879231
0.0395175482926,0.0429963941514
0.0371844136274,0.0500640527086
0.0329104586004,0.160692173355
0.0470111349754,0.0364422115207
0.0490530355055,0.115579807708
0.0680701689278,0.0365550743802
0.0500539590932,0.0491585794691
0.0686054740205,0.0890782760547
0.032395127214,0.0933187599678
0.0239938583583,0.138087316178
0.047552149884,0.258353516079
0.0560533106338,0.0779121061829
0.0595870605781,0.259494989064
0.0665161870029,0.214149069586
0.0631969735004,0.160472378798
0.0343501102959,0.578481679757
0.0586605327873,0.14193715639
0.0509329526464,0.390698889866
0.0697491703081,0.145785206544
0.0415496602463,0.196101691352
0.023963572233,0.0540020208264
0.0415899045816,0.0639730578518
0.0447742735529,0.0642383791162
0.0458339228496,0.258741211908
0.0303695030845,0.131888311652
0.049173358584,0.126072926139
0.0440867661807,0.124697260981
0.0346914349788,0.192108034661
0.0441262535518,0.0517409309399
0.0363263127109,0.150426578073
0.0327402912611,0.141387393986
0.0482392301694,0.0819226964463
0.0281128168704,0.284322556163
0.0343000566012,0.268748777682
0.0447871510946,0.0698040570684
0.0296030675798,0.0777311359681
0.0522435943348,0.221015525555
0.0365337137694,0.170190402896
0.0454501425725,0.10685390071
0.040361653923,0.237490765274
0.0528229880672,0.110170635227
0.0273936875411,0.172007018126
0.0456512079203,0.0621497895481
0.0578577906099,0.110615023941
0.0395871278775,0.126944549297
0.0352676352131,0.109794391941
0.052747219677,0.0809823194632
0.0455697766838,0.12386252947
0.0313893001367,0.0966363792344
0.0283957294271,0.064450068138
0.0395253805847,0.0692099506632
0.0426244761908,0.075847820682
0.0375295099882,0.113532147819
0.0310919217409,0.129796983767
0.0348802179017,0.192206970562
0.036060369536,0.105334107197
0.0596202838132,0.145524364411
0.0681206797005,0.0596299714663
0.0517742245605,0.130217601143
0.0545557900803,0.0974594238893
0.0448375412368,0.0743403423368
0.0530163414747,0.167837658831
0.0528453814189,0.168709916846
0.0539921295437,0.0562958637779
0.0505610093885,0.116143743091
0.0387865986683,0.206076064429

5-Fold RMSE:,0.096883198325,0.0623287406757,0.0785975190779,0.0488652572673,0.0488652572673
Average 5-Fold RMSE:,0.0863254601446

5-Fold rsquared:,-0.1303478833,-0.138383682845,-0.84446983341,-0.0260048161468,-0.0260048161468
Average 5-Fold rsquared:,-0.250628824702
