voronoi_density,rotError.mean.mean
0.00808823529412,0.00781177272727
0.00955699352912,0.00518106666667
0.0116912972085,0.00745268421053
0.0344632768362,0.00380332142857
0.0215053763441,0.00530514285714
0.00925140387024,0.0108654444444
0.00519180106663,0.0100377916667
0.00722834459059,0.00976259090909
0.0129516019087,0.00654347826087
0.0176991150442,0.00574740540541
0.0190476190476,0.0063216
0.0253086419753,0.00609472
0.0246913580247,0.00695146666667
0.0173913043478,0.00530697297297
0.0238095238095,0.00419643333333
0.0285714285714,0.00586774285714
0.0090424298632,0.0080334137931
0.00713667820069,0.00957582352941
0.00740202062177,0.0113755652174
0.0131513647643,0.00664728571429
0.00484541088869,0.00940933333333
0.00866896039938,0.00862580769231
0.010447761194,0.0175163076923
0.00595238095238,0.00585915384615
0.0151079136691,0.0080592
0.0131567778627,0.00719391304348
0.0238095238095,0.0116620333333
0.00812851405622,0.0185035384615
0.00904977375566,0.00794823076923
0.00721522115147,0.00808536363636
0.00719244167105,0.00828783870968
0.0105263157895,0.0090522
0.00400898812284,0.0130484230769
0.00480478499412,0.0102915384615
0.00671096345515,0.0115043333333
0.0058288988948,0.0112823142857
0.0263157894737,0.00535094117647
0.00938926320365,0.0116517083333
0.00892348585533,0.00985292
0.0190476190476,0.00736969230769
0.00642957604983,0.0124235769231
0.00740228294708,0.0109033461538
0.015503875969,0.00870517391304
0.00952380952381,0.00633515384615
0.00724618860868,0.0100060769231
0.00697674418605,0.00994803703704
0.0108634470337,0.0114515483871
0.0097678694553,0.00746737837838
0.0116271344097,0.0102650357143
0.00765140004341,0.0086655
0.013986013986,0.0111931666667
0.0114093556717,0.00878128
0.0137931034483,0.00787177777778
0.00769163788349,0.0083908
0.0118343195266,0.013150075
0.00844979919679,0.0103568888889
0.0132155083194,0.00629451282051
0.0105814273905,0.0100887741935
0.0116959064327,0.0114415
0.0121212121212,0.0108286829268
0.103896103896,0.00529
0.0161290322581,0.0074369
0.00793650793651,0.0108653666667
0.013698630137,0.00650085185185
0.00836649321498,0.0107349090909
0.015873015873,0.00662575862069
0.0088868459358,0.0108217916667
0.00749872902898,0.00683478125
0.0093023255814,0.00717885185185
0.00440412804838,0.0361834583333
0.0104161102505,0.00648584615385
0.00822963331674,0.00584372
0.00921283274224,0.0060295
0.00318368544601,0.0163589615385

5-Fold RMSE:,0.00258950486447,0.00296470745912,0.00699095660933,0.00710303590864,0.00710303590864
Average 5-Fold RMSE:,0.00466797851068

5-Fold rsquared:,-0.0304887924013,0.0671437926222,-6.49483002528,0.0761340397428,0.0761340397428
Average 5-Fold rsquared:,-1.31065179825
