voronoi_avg_betweenness_centrality,transError.std.std
0.0321313931569,0.210038240515
0.0419426953002,0.167837658831
0.0453083989501,0.230568556601
0.0506431441029,0.0888341978949
0.0688565543818,0.0536568207547
0.0824956165985,0.0531756045959
0.0912411571598,0.0388866547706
0.0512248343955,0.207135681695
0.0385499044432,0.204774691356
0.0533682183273,0.258492090208
0.0847704008547,0.0429963941514
0.101026753682,0.0500640527086
0.100138696255,0.160692173355
0.0960540709486,0.0364422115207
0.0959134239725,0.115579807708
0.0856861275929,0.0370592039719
0.0833181465357,0.0491585794691
0.112872975277,0.0890782760547
0.0679895520642,0.0933187599678
0.0467709082677,0.138087316178
0.055920167335,0.283472780901
0.0682366021076,0.155756377989
0.0536409255235,0.431148459783
0.0538211780553,0.301796672041
0.0425393134828,0.15137538147
0.0415603204832,1.02365065259
0.0510232807543,0.167680135625
0.072659366777,0.390698889866
0.0848503256724,0.145785206544
0.0649559528436,0.23374692862
0.0723839147691,0.0547581142166
0.0474747686416,0.0669920319093
0.0472698785658,0.391347667119
0.076188994946,0.258741211908
0.0313445517341,0.35561401166
0.0454936627156,0.382246016935
0.0511352348359,0.155138806672
0.0479590290814,0.177945288381
0.089848269322,0.0530782981644
0.0560749704341,0.150426578073
0.0530579343746,0.21615872905
0.086418435933,0.0819226964463
0.049189456212,0.293317732168
0.0737227337282,0.127652611947
0.0905225691265,0.221674636893
0.0702205751345,0.0853392946102
0.0510723425654,0.357301613152
0.0494197342933,0.453233740742
0.0589674081539,0.179230997901
0.0637462112276,0.236587447923
0.0632373186978,0.110170635227
0.0478339121627,0.172007018126
0.0796291911066,0.0621497895481
0.0541567842537,0.171951321611
0.0824194352595,0.126944549297
0.0622521680655,0.109794391941
0.0650717683523,0.107098494917
0.0503509521959,0.151433371273
0.0720605736997,0.185990376251
0.0833692725123,0.064450068138
0.0656786745706,0.0692099506632
0.0642846329887,0.075847820682
0.137012987013,0.115451416633
0.0982316750719,0.129796983767
0.0588473635416,0.239664370415
0.0797518763449,0.105334107197
0.0519919002253,0.149483092715
0.0719211469534,0.0596299714663
0.0543909260484,0.141523549212
0.0407834101382,0.242795647909
0.0591222769494,0.0743403423368
0.058391423179,0.355724934863
0.0566914730706,0.0562958637779
0.0557387498564,0.116143743091

5-Fold RMSE:,0.087494262152,0.231695469374,0.101885761685,0.0680444340921,0.0680444340921
Average 5-Fold RMSE:,0.123339382949

5-Fold rsquared:,-0.164656267045,0.0953432019758,0.163404066574,0.296909888934,0.296909888934
Average 5-Fold rsquared:,0.193447441045
