topology_avg_katz_centrality,transError.mean.std
0.164520601552,0.187622165382
0.14490959715,0.117509395197
0.152012508979,0.150879627982
0.19348855763,0.0626106276575
0.274857823643,0.0363222141704
0.315688199115,0.0240230927776
0.281188123319,0.0231752964896
0.13687879313,0.244942705536
0.149691632732,0.118403445404
0.200394557396,0.25684750383
0.225986597665,0.0468835943002
0.255507311148,0.0525575836354
0.240292386743,0.0652650350355
0.253883083042,0.0380406378831
0.245140367357,0.048698079138
0.240554468057,0.0471928668924
0.253300745845,0.015699391456
0.240402348022,0.0795487657361
0.197358951489,0.0609893108178
0.576851478367,0.0634488000674
0.137896297217,0.157331633444
0.222462593068,0.225853461955
0.140375197828,0.335983825039
0.184491558962,0.192289958812
0.174610713191,0.0925116985357
0.168023315729,0.173005460782
0.221789361423,0.150862439925
0.217728809152,0.113382526137
0.21855578736,0.0940625752148
0.177783461173,0.228409668405
0.162643088488,0.0484971177734
0.15905127118,0.0700468458533
0.162992923157,0.287812908678
0.194677300978,0.109859637786
0.122273092524,0.30823195051
0.139000400145,0.251954545215
0.137439770012,0.158847840005
0.134265682771,0.112238353718
0.273817367365,0.0402882774962
0.153884368942,0.0825251437691
0.173718373605,0.1264444763
0.23768993686,0.0703616797672
0.151720774244,0.114763250904
0.205673933659,0.0896356459078
0.213572373485,0.185040710074
0.144439568071,0.14370205831
0.17493981875,0.281651273406
0.153835261752,0.217198105027
0.187006207323,0.0868164172079
0.225837365907,0.121972989288
0.244355748718,0.0844506183324
0.190490479867,0.0812632064472
0.21338935033,0.0478290808047
0.215991842591,0.165411061738
0.20472205591,0.063039235743
0.158341350822,0.0862053699096
0.197191271315,0.123650418782
0.194739301254,0.166220167829
0.22139266437,0.205108169667
0.180352476788,0.067525357097
0.209504868068,0.0711609699581
0.24633950968,0.0754858045801
0.226325241251,0.0664587250454
0.240534450369,0.06593977187
0.165392862514,0.17018166168
0.215217790547,0.060063217006
0.17256521982,0.14039673261
0.240540169197,0.0600886637503
0.156033511459,0.141798879212
0.159984669078,0.259118831645
0.245946325233,0.0554747715395
0.197164987585,0.22720282762
0.222971811884,0.0490437767207
0.175433513511,0.0852449136299

5-Fold RMSE:,0.0662005473189,0.072884985508,0.0595848384475,0.0615235205953,0.0615235205953
Average 5-Fold RMSE:,0.075529615211

5-Fold rsquared:,0.00781767944131,0.283900028066,-0.0711852158323,-0.0318678608155,-0.0318678608155
Average 5-Fold rsquared:,-0.125268399439
