topology_avg_betweenness_centrality,rotError.numSamples.mean
0.0677298311445,4854.31818182
0.0785507246377,2208.2
0.171328671329,533.736842105
0.244444444444,281.035714286
0.0818181818182,375.75
0.0430054476308,2982.96296296
0.0396317370002,4729.04166667
0.106554677207,2494.54545455
0.12693498452,1109.95652174
0.141391941392,244.540540541
0.145098039216,830.8
0.128937728938,180.0
0.107142857143,450.733333333
0.060119047619,456.135135135
0.0930402930403,628.1
0.0625,954.971428571
0.123188405797,914.034482759
0.333333333333,2059.76470588
0.0447939150992,8438.2173913
0.0835913312693,1611.28571429
0.0346271236799,6025.96969697
0.0462820512821,4245.57692308
0.0456121145776,2369.74358974
0.0721368092692,11003.8461538
0.0746474028208,2018.0
0.0809941520468,8121.34782609
0.0526315789474,2459.1
0.0803776683087,2825.15384615
0.127799227799,898.038461538
0.0618618618619,845.545454545
0.0622358034123,908.161290323
0.0855072463768,6648.12
0.0483073539657,2004.73076923
0.0512077294686,1650.23076923
0.0603415047795,1444.0
0.0541025641026,4167.25714286
0.124708624709,160.676470588
0.0702091767881,1054.375
0.0786962365591,1731.48
0.0990196078431,1206.76923077
0.0726480836237,6763.84615385
0.11405985319,4317.96153846
0.0884711779449,1501.82608696
0.0858805445762,1183.46153846
0.0555829228243,4219.69230769
0.071322537112,3851.77777778
0.0939031339031,2071.29032258
0.103887168903,3696.67567568
0.0916666666667,1492.89285714
0.109401709402,3379.41666667
0.0867167919799,655.766666667
0.0763157894737,619.76
0.116318464145,1611.27777778
0.0813181602655,3842.36
0.0693346508564,1278.8
0.0886956521739,2906.77777778
0.125438596491,1697.56410256
0.121100164204,1119.77419355
0.0974025974026,581.0
0.11369047619,510.341463415
0.115927072583,1266.60714286
0.138235294118,1420.46666667
0.0755793226381,3455.96666667
0.10626566416,754.666666667
0.0506568144499,2924.18181818
0.0613095238095,407.793103448
0.052380952381,2267.29166667
0.0501145912911,1168.5
0.110714285714,609.074074074
0.0450348432056,4291.20833333
0.0716403162055,1209.07692308
0.0791193670451,461.08
0.0574712643678,1971.81578947
0.0651387827858,8361.53846154

5-Fold RMSE:,2151.24195062,2077.55940442,3280.98949665,1393.10649905,1393.10649905
Average 5-Fold RMSE:,2226.65137982

5-Fold rsquared:,0.0373199001599,-2.80576194211,-0.113777274516,0.21772724397,0.21772724397
Average 5-Fold rsquared:,-0.619013685901
