totalTime,rotError.numSamples.mean
7739.04545455,4854.31818182
5871.41333333,2208.2
2281.97894737,533.736842105
1354.59642857,281.035714286
1659.58214286,375.75
5185.57037037,2982.96296296
5477.86666667,4729.04166667
3478.16818182,2494.54545455
2830.96086957,1109.95652174
1745.23513514,244.540540541
2208.06285714,830.8
1662.192,180.0
1609.00666667,450.733333333
2120.34594595,456.135135135
2048.65333333,628.1
3052.23428571,954.971428571
3764.16896552,914.034482759
3581.27058824,2059.76470588
7070.53478261,8438.2173913
4370.66666667,1611.28571429
9172.43333333,6025.96969697
9147.29230769,4245.57692308
2876.39487179,2369.74358974
10577.6692308,11003.8461538
5200.37,2018.0
6047.27826087,8121.34782609
3020.41666667,2459.1
3045.04117647,2286.47058824
2454.26153846,898.038461538
2699.92727273,845.545454545
3264.42903226,908.161290323
5479.196,6648.12
4427.51923077,2004.73076923
3802.08461538,1650.23076923
3494.89333333,1146.46666667
6018.93823529,4031.79411765
1558.62647059,160.676470588
3136.37916667,1054.375
3815.912,1731.48
2507.84230769,1206.76923077
8208.764,6538.68
5026.896,4308.48
2862.13043478,1501.82608696
3938.79487179,1183.46153846
5791.23846154,4219.69230769
5879.612,3447.08
2866.03870968,2071.29032258
5106.66388889,3619.88888889
2649.53928571,1492.89285714
7307.11666667,3379.41666667
2228.52666667,655.766666667
2098.088,619.76
3423.01111111,1611.27777778
6119.592,3842.36
2410.93333333,1263.23076923
4412.42962963,2906.77777778
3693.98717949,1697.56410256
3426.39032258,1119.77419355
2034.859375,581.0
1896.65609756,510.341463415
4133.45185185,1274.18518519
2596.04,1420.46666667
5131.46666667,3455.96666667
2637.14444444,754.666666667
5495.39090909,2924.18181818
1954.06206897,407.793103448
4150.80833333,2267.29166667
3693.959375,1168.5
2386.22592593,609.074074074
7180.75,4291.20833333
2941.61538462,1209.07692308
2600.284,461.08
5058.65263158,1971.81578947
7318.78076923,8361.53846154

5-Fold RMSE:,1313.81094443,1279.14283553,1155.93126777,927.510447765,927.510447765
Average 5-Fold RMSE:,1130.36573169

5-Fold rsquared:,0.660718763572,0.766413153149,0.656151637808,0.388080068865,0.388080068865
Average 5-Fold rsquared:,0.668291334598
