avgRoomWallRatio,rotError.numSamples.mean
94.0246719844,4854.31818182
23.0972333146,2208.2
17.2159380658,533.736842105
34.9170323836,281.035714286
40.1386183344,375.75
4.15960998171,2982.96296296
98.27407095,4729.04166667
32.0558355679,2494.54545455
31.8854450811,1109.95652174
17.0310324486,244.540540541
17.8785937327,830.8
5.31889858635,180.0
11.6322524159,450.733333333
16.7112958669,456.135135135
4.19025169616,628.1
4.5851672727,954.971428571
28.2697955746,914.034482759
78.8607355756,2059.76470588
5.76789137536,8438.2173913
9.94474092631,1611.28571429
9.40155834329,6025.96969697
15.5899748781,4245.57692308
13.2876366474,2369.74358974
5.36699093475,11003.8461538
16.4235744233,2018.0
5.20590608492,8121.34782609
3.89560341955,2459.1
28.751717776,2825.15384615
17.0235577735,898.038461538
16.5688430617,845.545454545
41.7117577663,908.161290323
42.725871617,6648.12
74.578108553,2004.73076923
31.9225066807,1650.23076923
5.20722404423,1444.0
7.42424488488,4167.25714286
7.63297537834,160.676470588
21.7010848341,1054.375
137.556377369,1731.48
20.6470540419,1206.76923077
12.5838625992,6763.84615385
32.8475094999,4317.96153846
23.8346876138,1501.82608696
21.4298943763,1183.46153846
257.915562133,4219.69230769
18.4384227154,3851.77777778
21.165267296,2071.29032258
52.1209436869,3696.67567568
21.1597420627,1492.89285714
372.057769319,3379.41666667
21.6349184755,655.766666667
17.1761447181,619.76
52.6797805223,1611.27777778
452.745366651,3842.36
11.0567143812,1278.8
20.8609685098,2906.77777778
29.1017856064,1697.56410256
33.8993698932,1119.77419355
17.0002297373,581.0
13.0307686716,510.341463415
112.186234652,1266.60714286
34.5694850639,1420.46666667
6.82477892286,3455.96666667
11.3478965674,754.666666667
25.0965042526,2924.18181818
31.3640832419,407.793103448
5.11370107056,2267.29166667
5.66003775883,1168.5
31.0817993552,609.074074074
12.4734197923,4291.20833333
20.3487250038,1209.07692308
91.8956005443,461.08
91.5984252567,1971.81578947
8.06038669655,8361.53846154

5-Fold RMSE:,1990.82285426,2249.10349934,1535.26952671,2057.35077598,2057.35077598
Average 5-Fold RMSE:,2201.62596149

5-Fold rsquared:,-0.260697900322,-0.0391682079987,0.0249135960891,-0.152493482641,-0.152493482641
Average 5-Fold rsquared:,-0.0924959330138
