voronoi_avg_closeness_centrality,rotError.mean.std
0.0829681026723,0.00314194787486
0.0792384190845,0.000529720236435
0.0798824288546,0.00274200687267
0.178437489832,0.000868010041646
0.111079156429,0.000988470995105
0.0829357773374,0.00396421114784
0.0635474330535,0.00305267434636
0.0627819242078,0.00323725683059
0.070759448798,0.00162224709611
0.0847485271117,0.00122251686463
0.0911718928997,0.00481593435646
0.121065388922,0.00139556645188
0.120524288794,0.00295561424787
0.0966926435271,0.000970277349218
0.130293676296,0.00087903722649
0.119034100862,0.00234359606884
0.0633096270436,0.00196300121238
0.0716879263894,0.00475371639426
0.0626132509807,0.00347532974758
0.0884732603304,0.00196074084985
0.0418780662733,0.00290945535533
0.0745168063384,0.0031687609811
0.108537964332,0.00691864528074
0.0689598898793,0.00176297243951
0.12870857214,0.00288446249643
0.0852834013798,0.00193137045088
0.126092060057,0.00350567334933
0.0607268432365,0.0101955133655
0.0613436786713,0.00189316660463
0.0713487155756,0.00409306542765
0.0716179077184,0.0021898122043
0.0677186188063,0.00268365863701
0.0583282349173,0.00416085194839
0.0511601522691,0.00454871802084
0.0630304264848,0.00641385431356
0.0576403296223,0.00357712486121
0.134849739205,0.00149199568169
0.0787934053944,0.00373159733983
0.0784116989904,0.00227211409784
0.10438803755,0.00284573492967
0.0621938106869,0.00416717640221
0.0459685102702,0.00429998156474
0.0833470642953,0.00262143524665
0.0668233399598,0.0015716058183
0.0674685943723,0.00295077555546
0.066160655136,0.00347412036809
0.086124372711,0.00393376291854
0.0670963269855,0.00199420279203
0.0860557798913,0.00317220657184
0.0743900151433,0.00212895982035
0.0848779173114,0.00283126115696
0.0957811074698,0.00452986510634
0.0804055982337,0.00169591170353
0.0602154793258,0.00167382816322
0.0849009471958,0.00380101619562
0.0764866089586,0.00567736820441
0.0838354988579,0.00200585427637
0.0620173042545,0.00290650421563
0.0854679083625,0.00604227499064
0.089826724729,0.00633767378436
0.276990231888,0.00090005519672
0.0799232574825,0.00296056940863
0.0653665559372,0.00379557550738
0.0828839962515,0.0018376947053
0.0752682157962,0.00342684333818
0.105127732991,0.0018378217927
0.0763646154256,0.0038392713065
0.0824425675438,0.00265952798602
0.0764803546915,0.00290145318257
0.0502815796087,0.127889138475
0.0840568168315,0.00273066403156
0.0692964768629,0.00140772643706
0.0778106496485,0.00163527502515
0.047644843881,0.00529794026363

5-Fold RMSE:,0.00380519493793,0.0322338986095,0.00885153442247,0.00308774417099,0.00308774417099
Average 5-Fold RMSE:,0.0102014073681

5-Fold rsquared:,-15.3568216918,-3.09931071471,-1.56114472086,-7.86585865049,-7.86585865049
Average 5-Fold rsquared:,-5.58809073853
