voronoi_density,transError.mean.mean
0.00808823529412,0.494097045455
0.00955699352912,0.347489733333
0.0116912972085,0.178033842105
0.0344632768362,0.111519571429
0.0215053763441,0.135674892857
0.00925140387024,0.500454518519
0.00519180106663,0.483538
0.00722834459059,0.314663090909
0.0129516019087,0.266804521739
0.0176991150442,0.136014027027
0.0190476190476,0.1602634
0.0253086419753,0.11330008
0.0246913580247,0.120517266667
0.0173913043478,0.168670918919
0.0238095238095,0.1753349
0.0285714285714,0.250973828571
0.0090424298632,0.255138206897
0.00713667820069,0.275744352941
0.00740202062177,0.550894956522
0.0131513647643,0.348672047619
0.00484541088869,0.556707151515
0.00866896039938,0.560622653846
0.010447761194,0.375646230769
0.00595238095238,0.493396230769
0.0151079136691,0.349249866667
0.0131567778627,0.511895521739
0.0238095238095,0.3828526
0.00812851405622,0.376691423077
0.00904977375566,0.2061935
0.00721522115147,0.234490727273
0.00719244167105,0.250467741935
0.0105263157895,0.63580396
0.00400898812284,0.298866
0.00480478499412,0.263492076923
0.00671096345515,0.279235933333
0.0058288988948,0.469986628571
0.0263157894737,0.0827919117647
0.00938926320365,0.224303125
0.00892348585533,0.36068872
0.0190476190476,0.297397730769
0.00642957604983,0.687380423077
0.00740228294708,0.594765692308
0.015503875969,0.276685391304
0.00952380952381,0.26799774359
0.00724618860868,0.394348115385
0.00697674418605,0.407328592593
0.0108634470337,0.301939870968
0.0097678694553,0.337777675676
0.0116271344097,0.301987178571
0.00765140004341,0.381142583333
0.013986013986,0.2053401
0.0114093556717,0.16422708
0.0137931034483,0.273704222222
0.00769163788349,0.42013416
0.0118343195266,0.315128875
0.00844979919679,0.391206259259
0.0132155083194,0.319272923077
0.0105814273905,0.283932129032
0.0116959064327,0.19405875
0.0121212121212,0.191225219512
0.103896103896,0.287816464286
0.0161290322581,0.3031
0.00793650793651,0.4451378
0.013698630137,0.236201074074
0.00836649321498,0.513622636364
0.015873015873,0.154262137931
0.0088868459358,0.395215916667
0.00749872902898,0.2822633125
0.0093023255814,0.189719777778
0.00440412804838,0.513207166667
0.0104161102505,0.240103076923
0.00822963331674,0.17891308
0.00921283274224,0.367190842105
0.00318368544601,0.626637846154

5-Fold RMSE:,0.11324962878,0.117450500868,0.157967078187,0.0941085784142,0.0941085784142
Average 5-Fold RMSE:,0.15663013309

5-Fold rsquared:,0.153497192871,-3.51806264543,0.0411237363715,-0.31366740692,-0.31366740692
Average 5-Fold rsquared:,-0.713469632412
