voronoi_traversal_rotation,transError.mean.std
383.11155342,0.128810550931
299.224987726,0.0626106276575
226.003670468,0.0363222141704
65.6201458925,0.0240230927776
119.373687987,0.0231752964896
298.40968252,0.12471567563
531.828197886,0.118403445404
350.187357947,0.105974371826
194.123703961,0.0468835943002
136.791651053,0.0525575836354
142.527427016,0.0652650350355
93.9540558552,0.0380406378831
112.722731226,0.048698079138
163.845822573,0.0465531383268
166.514228449,0.015699391456
99.3153433059,0.0795487657361
294.725708146,0.0609893108178
393.873036041,0.0634488000674
463.90477356,0.121656676099
189.655868233,0.108765944747
493.115537244,0.116482183881
273.909081263,0.123971354033
291.098597003,0.117014135854
247.053934824,0.093854286797
212.580961906,0.0949115380575
255.161221325,0.113382526137
154.379223345,0.0940625752148
321.530644611,0.0476951664389
403.087870914,0.0815122877936
425.021775933,0.0482871281887
293.121426335,0.109859637786
593.843879979,0.0815752280843
538.679861002,0.0639775660122
459.10700613,0.0966037993107
473.944548731,0.130209711384
144.966338136,0.0344430098623
350.705972495,0.0825251437691
311.405157352,0.0787229033116
166.199693564,0.0703616797672
453.205692733,0.136893046155
263.788701522,0.131748844655
198.358452797,0.0638479804609
282.992600807,0.0832238780337
384.492596967,0.112655965246
404.099217031,0.0882750414235
235.588634426,0.0630703094014
229.212945534,0.0904968358626
184.662743682,0.0844506183324
355.377918967,0.0812632064472
171.74666032,0.0478290808047
224.47594753,0.0665534059179
167.825668593,0.063039235743
307.207591809,0.0862053699096
239.186424328,0.0951669768786
276.832203798,0.0936298052555
226.516662992,0.083845172989
261.569459102,0.067525357097
231.322208878,0.0711609699581
190.252000937,0.0754858045801
19.7037549351,0.0666286445176
181.358181073,0.06593977187
329.711625302,0.119219125795
186.04419983,0.060063217006
342.429442135,0.0967598598958
154.630366434,0.0600886637503
356.5562977,0.103345628507
344.249370086,0.0960266591481
271.307075133,0.0554747715395
273.749097052,0.0976733690521
327.830406313,0.0490437767207
288.227981357,0.0852449136299

5-Fold RMSE:,0.019599212721,0.0274060479461,0.0262796306238,0.0214508894123,0.0214508894123
Average 5-Fold RMSE:,0.0245866464336

5-Fold rsquared:,0.228893516289,0.105945053368,0.125421926868,0.421816334405,0.421816334405
Average 5-Fold rsquared:,0.23298470922
