topology_std_eigenvector_centrality,rotError.mean.std
0.0983045532532,0.0051668558009
0.105212691271,0.127889138475
0.10756347235,0.00340156190411
0.122312884505,0.000529720236435
0.1677582343,0.00274200687267
0.126523822532,0.000868010041646
0.134659649123,0.000988470995105
0.0953368680058,0.00429956664055
0.10463312949,0.00305267434636
0.143314542052,0.00325076749757
0.155800946802,0.00162224709611
0.136238783067,0.00122251686463
0.12070283799,0.00481593435646
0.154249695615,0.00139556645188
0.144335610656,0.00295561424787
0.122088537902,0.00086073843683
0.115471578888,0.00087903722649
0.126969125396,0.00234359606884
0.149197272515,0.00196300121238
0.0976310729378,0.00475371639426
0.0929410616606,0.00397965134483
0.129587592,0.00194485015484
0.0976912934536,0.011229552043
0.112134596259,0.00728678377751
0.108435380695,0.0240067761271
0.116999705628,0.00587163384417
0.132839614937,0.00364257671701
0.127039153774,0.00193137045088
0.120678590464,0.00350567334933
0.118775976121,0.011540864302
0.122166059236,0.00169851493892
0.11397801196,0.00387832424544
0.112661742233,0.018982936371
0.133711411098,0.00268365863701
0.0795638641065,0.00951347370549
0.106549735087,0.0113683540574
0.111420287448,0.0102189055546
0.0928921269199,0.00279617073466
0.132185619966,0.00119649202124
0.122766639694,0.00373159733983
0.105912295049,0.00435481252733
0.133073753052,0.00284573492967
0.114101280324,0.00405173873492
0.109405113251,0.00258198449888
0.12661037708,0.00935193660277
0.120475441694,0.00120964368307
0.11078077306,0.00544625576124
0.108512198276,0.0122018643728
0.13417553378,0.00687929093309
0.128133402293,0.00319700990545
0.131768090649,0.00317220657184
0.130350497196,0.00212895982035
0.129026999341,0.00283126115696
0.133089510306,0.00479663990611
0.14421463787,0.00169591170353
0.104515098912,0.00167382816322
0.123327189632,0.00464877681209
0.129278231027,0.00631663664558
0.136984666563,0.00267358431567
0.119071453185,0.00290650421563
0.123020874141,0.00604227499064
0.133127955687,0.00633767378436
0.121745985772,0.000897543822652
0.125418567606,0.00296056940863
0.113860325594,0.00514108200771
0.122025009105,0.0018376947053
0.11116785633,0.00559589829449
0.124194319488,0.0018378217927
0.0963975736058,0.00470429841354
0.105943592175,0.00584007398849
0.130288075133,0.00290145318257
0.12417994054,0.0102512932546
0.1242813404,0.00140772643706
0.113850442469,0.00163527502515

5-Fold RMSE:,0.00419144277357,0.00623213427301,0.00572624628636,0.031656618427,0.031656618427
Average 5-Fold RMSE:,0.0104364993515

5-Fold rsquared:,-0.0451593108154,-0.467447250714,0.22308659754,-0.842995557378,-0.842995557378
Average 5-Fold rsquared:,-0.741788683898
