perimeter,rotError.mean.std
383.710764507,0.0051668558009
476.307895935,0.127889138475
919.385854688,0.00340156190411
845.094809668,0.000529720236435
400.830204991,0.00274200687267
104.798400009,0.000868010041646
297.255462487,0.000988470995105
175.184877189,0.00429956664055
975.710287307,0.00305267434636
661.864870045,0.00325076749757
461.959330453,0.00162224709611
301.700928702,0.00122251686463
395.362041332,0.00481593435646
266.76921056,0.00139556645188
190.183623926,0.00295561424787
384.28900186,0.00086073843683
169.305586218,0.00087903722649
547.895428741,0.00234359606884
663.883925852,0.00196300121238
569.465956684,0.00475371639426
277.253593842,0.00397965134483
186.385475943,0.00194485015484
266.853191731,0.011229552043
251.520417083,0.00728678377751
217.978099666,0.0240067761271
413.568733758,0.00587163384417
161.46910584,0.00364257671701
333.320883456,0.00193137045088
348.726342602,0.00350567334933
582.414195881,0.011540864302
416.287346717,0.00169851493892
602.450956601,0.00387832424544
625.529006956,0.018982936371
1411.67024864,0.00268365863701
687.006424965,0.00951347370549
804.802666284,0.0113683540574
325.157616123,0.0102189055546
394.105092531,0.00279617073466
254.907573617,0.00119649202124
512.058047582,0.00373159733983
574.390274931,0.00435481252733
577.749460923,0.00284573492967
462.202334131,0.00405173873492
542.151199633,0.00258198449888
607.353417602,0.00935193660277
895.078361009,0.00120964368307
810.652971073,0.00544625576124
791.247099826,0.0122018643728
523.504495381,0.00687929093309
642.501394841,0.00319700990545
438.695516966,0.00317220657184
921.061208435,0.00212895982035
425.51985706,0.00283126115696
383.553654629,0.00479663990611
611.004216827,0.00169591170353
1094.05395026,0.00167382816322
396.724658884,0.00464877681209
623.982104305,0.00631663664558
673.355919531,0.00267358431567
614.642509546,0.00290650421563
383.053807066,0.00604227499064
377.554649486,0.00633767378436
798.372831181,0.000897543822652
541.589338691,0.00296056940863
479.641424654,0.00514108200771
562.534496366,0.0018376947053
398.050280897,0.00559589829449
346.945664463,0.0018378217927
629.847164937,0.00470429841354
243.197749682,0.00584007398849
431.988152916,0.00290145318257
609.954365264,0.0102512932546
446.124179764,0.00140772643706
1033.37498647,0.00163527502515

5-Fold RMSE:,0.00407471592642,0.0050728472958,0.0319193875369,0.004734902265,0.004734902265
Average 5-Fold RMSE:,0.0103075626698

5-Fold rsquared:,-0.328280075676,-0.0483203776811,0.0128212578217,-1.16729880659,-1.16729880659
Average 5-Fold rsquared:,-0.427752858691
