voronoi_numTerminalPoints,transError.mean.mean
117,0.494097045455
82,0.347489733333
82,0.178033842105
31,0.111519571429
48,0.135674892857
92,0.500454518519
189,0.483538
136,0.314663090909
76,0.266804521739
59,0.136014027027
57,0.1602634
39,0.11330008
42,0.120517266667
60,0.168670918919
41,0.1753349
36,0.250973828571
108,0.255138206897
135,0.275744352941
107,0.550894956522
63,0.348672047619
168,0.556707151515
85,0.560622653846
95,0.375646230769
154,0.493396230769
70,0.349249866667
65,0.511895521739
43,0.3828526
119,0.376691423077
110,0.2061935
137,0.234490727273
138,0.250467741935
97,0.63580396
224,0.298866
204,0.263492076923
145,0.279235933333
171,0.469986628571
40,0.0827919117647
108,0.224303125
112,0.36068872
54,0.297397730769
153,0.687380423077
117,0.594765692308
66,0.276685391304
105,0.26799774359
137,0.394348115385
131,0.407328592593
93,0.301939870968
85,0.337777675676
87,0.301987178571
125,0.381142583333
72,0.2053401
88,0.16422708
74,0.273704222222
125,0.42013416
87,0.315128875
112,0.391206259259
68,0.319272923077
95,0.283932129032
87,0.19405875
85,0.191225219512
9,0.287816464286
62,0.3031
125,0.4451378
72,0.236201074074
118,0.513622636364
64,0.154262137931
108,0.395215916667
126,0.2822633125
111,0.189719777778
220,0.513207166667
94,0.240103076923
118,0.17891308
106,0.367190842105
309,0.626637846154

5-Fold RMSE:,0.119503393248,0.0937167200004,0.100421920104,0.100885180534,0.100885180534
Average 5-Fold RMSE:,0.11908957545

5-Fold rsquared:,0.168599672032,-0.0474437421495,0.597068374558,0.465054526154,0.465054526154
Average 5-Fold rsquared:,0.161692547935
