topology_radius,rotError.numSamples.mean
4,4854.31818182
3,2208.2
3,533.736842105
3,281.035714286
1,375.75
3,2982.96296296
3,4729.04166667
4,2494.54545455
3,1109.95652174
3,244.540540541
3,830.8
3,180.0
3,450.733333333
1,456.135135135
2,628.1
1,954.971428571
4,914.034482759
1,2059.76470588
3,8438.2173913
2,1611.28571429
3,6025.96969697
2,4245.57692308
2,2369.74358974
3,11003.8461538
2,2018.0
2,8121.34782609
1,2459.1
4,2825.15384615
7,898.038461538
4,845.545454545
3,908.161290323
4,6648.12
5,2004.73076923
4,1650.23076923
4,1444.0
4,4167.25714286
2,160.676470588
4,1054.375
4,1731.48
2,1206.76923077
5,6763.84615385
3,4317.96153846
3,1501.82608696
6,1183.46153846
2,4219.69230769
4,3851.77777778
4,2071.29032258
2,3696.67567568
2,1492.89285714
4,3379.41666667
2,655.766666667
3,619.76
3,1611.27777778
4,3842.36
3,1278.8
4,2906.77777778
3,1697.56410256
5,1119.77419355
3,581.0
2,510.341463415
3,1266.60714286
3,1420.46666667
4,3455.96666667
3,754.666666667
2,2924.18181818
1,407.793103448
3,2267.29166667
3,1168.5
3,609.074074074
3,4291.20833333
3,1209.07692308
3,461.08
3,1971.81578947
4,8361.53846154

5-Fold RMSE:,2331.00870513,1368.03405193,1751.68192766,2121.40188535,2121.40188535
Average 5-Fold RMSE:,2166.4961672

5-Fold rsquared:,-0.0555486577423,-0.0753699337796,-1.55939369098,-0.15103522531,-0.15103522531
Average 5-Fold rsquared:,-0.41315510063
